elementId,publicTitle,primaryPublicQuestion,primaryVisualization,secondaryVisualization,selectableDimensions,yearBehavior,unitBehavior,mapBehavior,listTableBehavior,benchmarkReference,runtimeVerified
A-011,부문별 온실가스 배출량,부문별 온실가스 배출량의 총량과 세부 구성이 시간에 따라 어떻게 달라졌는가,총량 추이와 세부 구성,최신연도 구성 상세,분류 | 세부 분류 | 연도,1970–2024년 전체 추이와 기간 선택,Mt CO2eq 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Climate Watch / World Resources Institute,true
A-012,온실가스 총배출량,온실가스 총배출량의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,1970–2024년 전체 추이와 기간 선택,Mt CO2eq 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-013,NDC와 지속가능발전목표 연계,NDC와 지속가능발전목표 연계의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | status | typeOfInformation,2016년 단면 비교,건 단일 축,데이터 상세 분석만 제공,분석 뒤 접힌 개별 목록·원자료 표,World Bank DataBank / World Development Indicators,true
A-014,지속가능발전목표 지수,지속가능발전목표 지수의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2000–2025년 전체 추이와 기간 선택,단위별 분리: 위 · 점,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-015,지속가능발전목표 세부 달성도,지속가능발전목표 세부 달성도의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2011–2026년 비연속 단면·분포 비교,점 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-016,1차 에너지 소비구조,1차 에너지 소비구조의 절대량과 구성비가 시간에 따라 어떻게 달라졌는가,에너지원별 절대량 누적영역과 총공급량,100% 구성비 추이와 선택연도 상세,분류 | 세부 분류 | 기술 | 연도,1965–2025년 전체 추이와 기간 선택,EJ 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
A-017,발전원별 균등화 발전비용,발전원별 균등화 발전비용의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,분류 | 기술 | 연도,2023–2050년 비연속 단면·분포 비교,USD/MWh 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
A-018,발전설비 용량,발전설비 용량의 절대량과 구성비가 시간에 따라 어떻게 달라졌는가,연도별 구성 변화,선택연도 구성 상세,분류 | 기술 | 연도,2000–2025년 전체 추이와 기간 선택,MW 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
A-019,송배전 손실률,송배전 손실률의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,연도,1990–2023년 전체 추이와 기간 선택,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-020,재생에너지 비중,재생에너지 비중의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,분류 | 연도,2000–2025년 전체 추이와 기간 선택,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-021,전력 접근률,전력 접근률의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,분류 | 연도,1997–2024년 전체 추이와 기간 선택,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-022,정전 빈도와 지속시간,정전 빈도와 지속시간의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2015–2026년 전체 추이와 기간 선택,단위별 분리: 회/고객 · 분/고객,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-023,발전소 현황,발전소 현황이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,capacityBand | commissioningYear | fuelType | fuelTypeRaw,0년 단면 비교,MW 단일 축,cluster · 1889개 feature/scope · 지도 선택 연계,분석 뒤 접힌 개별 목록·원자료 표,Global Forest Watch,true
A-024,베트남 송전망,베트남 송전망이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2015–2024년 비연속 단면·분포 비교,단위별 분리: % · kV,line · 606개 feature/scope · 지도 선택 연계,분석 뒤 접힌 개별 목록·원자료 표,Global Forest Watch,true
A-025,탄소포집·저장 시설,탄소포집·저장 시설이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | facilityType | status | type,2026년 단면 비교,건 단일 축,데이터 상세 분석만 제공,분석 뒤 접힌 개별 목록·원자료 표,Global Forest Watch,true
A-026,건물 분포,건물 분포이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 분류 | 세부 분류,2026년 단면 비교,단위별 분리: % · EPSG 코드 · 개 · 건,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
A-027,육상교통 인프라,육상교통 인프라이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 분류 | 세부 분류,2026년 단면 비교,단위별 분리: % · EPSG 코드 · 개 · 건,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
A-028,해안·수자원 인프라,해안·수자원 인프라이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 분류 | 세부 분류,2026년 단면 비교,단위별 분리: % · EPSG 코드 · 개 · 건,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
A-029,자유무역협정 체결 현황,자유무역협정 체결 현황의 주요 제도 변화는 언제 발생했는가,정책 연표,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | status,2026년 단면 비교,건 단일 축,데이터 상세 분석만 제공,분석 뒤 접힌 개별 목록·원자료 표,World Bank DataBank / World Development Indicators,true
A-030,한국과의 교역 규모,한국과의 교역 규모의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,분류 | 세부 분류 | 연도,2021–2024년 비연속 단면·분포 비교,10억 USD 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
A-031,물류성과지수,물류성과지수의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,분류 | 세부 분류 | 연도,2007–2022년 전체 추이와 기간 선택,점 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
A-032,중간재 교역 규모,중간재 교역 규모의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,1995–2023년 비연속 단면·분포 비교,단위별 분리: % · 천 USD,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
A-033,해운 연결성,해운 연결성의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,분류 | 세부 분류 | 연도,2006–2026년 전체 추이와 기간 선택,지수 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-001,건기와 우기,건기와 우기의 핵심 값과 시간 변화는 어떠한가,월·계절별 패턴,접힌 원자료 표,측정항목 | 세부 분류,1991년 단면 비교,단위별 분리: mm · ℃ · 구분,데이터 상세 분석만 제공,접힌 원자료 표,World Bank Climate Change Knowledge Portal,true
B-002,기후대,기후대이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | detail_3 | 연도,1930–2099년 비연속 단면·분포 비교,단위별 분리: 구분 · km² · %,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-003,평균 기온과 강수량,평균 기온과 강수량의 핵심 값과 시간 변화는 어떠한가,측정항목별 연도 추이,접힌 원자료 표,측정항목 | 연도,1901–2024년 전체 추이와 기간 선택,단위별 분리: mm · ℃,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-004,과거·미래 기후전망(CMIP6),과거·미래 기후전망(CMIP6)의 핵심 값과 시간 변화는 어떠한가,변수·시나리오별 범위와 추이,접힌 원자료 표,측정항목 | 세부 분류 | 기술 | 연도,1950–2100년 전체 추이와 기간 선택,단위별 분리: % · mm · kWh/m²/day · ℃ · m/s,데이터 상세 분석만 제공,접힌 원자료 표,World Bank Climate Change Knowledge Portal,true
B-005,가뭄 위험,가뭄 위험의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,측정항목 | 세부 분류 | 연도,1950–2100년 비연속 단면·분포 비교,단위별 분리: 지수 · 일 · m³/m³,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
B-006,폭염 위험,폭염 위험의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,측정항목 | 세부 분류 | 연도,1950–2100년 비연속 단면·분포 비교,일 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
B-007,홍수·호우 위험,홍수·호우 위험의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,측정항목 | 세부 분류 | 연도,1950–2100년 비연속 단면·분포 비교,단위별 분리: 일 · mm,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
B-008,해수면 상승 전망,해수면 상승 전망의 핵심 값과 시간 변화는 어떠한가,변수·시나리오별 범위와 추이,접힌 원자료 표,측정항목 | 연도,2020–2100년 전체 추이와 기간 선택,단위별 분리: m · mm/yr,데이터 상세 분석만 제공,접힌 원자료 표,World Bank Climate Change Knowledge Portal,true
B-009,생물다양성·기후 위험,생물다양성·기후 위험의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | detail_2 | 기술 | 연도,1995–2026년 전체 추이와 기간 선택,단위별 분리: 지수 · 점,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-010,기후위험지수,기후위험지수의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 연도,2023–2024년 비연속 단면·분포 비교,단위별 분리: 사건 · 순위 · —,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-011,기후취약성지수,기후취약성지수의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,1995–2024년 전체 추이와 기간 선택,단위별 분리: 점 · 지수,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-012,재해·재난 이력,재해·재난 이력의 주요 제도 변화는 언제 발생했는가,정책 연표,접힌 원자료 표,측정항목,2024년 단면 비교,단위별 분리: 건 · 명 · 천 US$,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-013,탄소국경조정제도 영향,탄소국경조정제도 영향의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,측정항목 | 세부 분류 | detail_2,2022년 단면 비교,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
B-014,탄소세 도입 효과 전망,탄소세 도입 효과 전망의 핵심 값과 시간 변화는 어떠한가,변수·시나리오별 범위와 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,2030–2040년 비연속 단면·분포 비교,단위별 분리: % · USD/tCO₂e · 십억 USD · % of GDP/yr,데이터 상세 분석만 제공,접힌 원자료 표,World Bank Climate Change Knowledge Portal,true
B-015,탄소가격 수준,탄소가격 수준의 주요 제도 변화는 언제 발생했는가,정책 연표,접힌 원자료 표,측정항목 | 세부 분류 | 연도,2020–2026년 비연속 단면·분포 비교,단위별 분리: 개소 · 상태 · tCO₂e · USD/tCO₂e,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-016,화석연료 의존도,화석연료 의존도의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 연도,1990–2025년 전체 추이와 기간 선택,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-017,물 스트레스,물 스트레스이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | 기술 | 연도,1990–2080년 비연속 단면·분포 비교,단위별 분리: 점 · %,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-018,장기 국내총생산 전망,장기 국내총생산 전망의 핵심 값과 시간 변화는 어떠한가,변수·시나리오별 범위와 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,1980–2100년 전체 추이와 기간 선택,단위별 분리: USD_2017/인 · 십억 USD_2017/yr,데이터 상세 분석만 제공,접힌 원자료 표,World Bank Climate Change Knowledge Portal,true
B-019,장기 인구 전망,장기 인구 전망의 핵심 값과 시간 변화는 어떠한가,변수·시나리오별 범위와 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,1950–2100년 전체 추이와 기간 선택,백만명 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank Climate Change Knowledge Portal,true
B-020,복합 위험지수,복합 위험지수의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | detail_2 | 연도,2017–2026년 전체 추이와 기간 선택,단위별 분리: 지수 · 순위 · 등급 · 개 · 점 · 년 · 원값 · %,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-021,취약성지수,취약성지수의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | detail_2 | 연도,1990–2100년 전체 추이와 기간 선택,단위별 분리: 지수 · % · log(USD_2017 PPP) · 년 · 세 · USD (2017 PPP) · 건/100명,region-choropleth · 63개 feature/scope · 지도 선택 연계,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-022,기후피해의 경제적 비용,기후피해의 경제적 비용의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,2030–2050년 비연속 단면·분포 비교,단위별 분리: 십억 US$ · % of GDP/yr · 십억 USD · 명,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-023,건기/우기 유량 차이,건기/우기 유량 차이의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,2004–2026년 비연속 단면·분포 비교,단위별 분리: m³/s · 비(倍) · %,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
B-024,농업 용수 비중,농업 용수 비중의 절대량과 구성비가 시간에 따라 어떻게 달라졌는가,연도별 구성 변화,선택연도 구성 상세,측정항목 | 세부 분류 | 연도,1990–2023년 전체 추이와 기간 선택,단위별 분리: US$/m³ · %,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
B-025,유역 면적,유역 면적이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | 연도,2024–2026년 비연속 단면·분포 비교,km² 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-026,유향(flow direction),유향(flow direction)이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류,2022년 단면 비교,단위별 분리: % · 방위,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-027,지하수 잠재량,지하수 잠재량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 연도,1990–2026년 비연속 단면·분포 비교,단위별 분리: 10⁹ m³/yr · mm/yr 또는 10⁹ m³/yr,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-028,하천 유량,하천 유량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 댐 건설 시기 | 세부 분류 | detail_2 | 연도,2004–2026년 비연속 단면·분포 비교,단위별 분리: km³/yr · % · m³/s,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-029,산림 유형별 면적,산림 유형별 면적이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 연도,1990–2025년 비연속 단면·분포 비교,단위별 분리: 1000 ha · ha,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-030,산림 이득,산림 이득이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 연도,1991–2025년 비연속 단면·분포 비교,단위별 분리: ha · ha/yr · 1000 ha/yr,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-031,산림 총면적,산림 총면적이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | 연도,2000–2010년 비연속 단면·분포 비교,ha 단일 축,choropleth · 63개 feature/scope · 지도 선택 연계,접힌 원자료 표,Global Forest Watch,true
B-032,수관 피복률,수관 피복률이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | 연도,2000–2010년 비연속 단면·분포 비교,% 단일 축,choropleth · 63개 feature/scope · 지도 선택 연계,접힌 원자료 표,Global Forest Watch,true
B-033,연간 산림손실,연간 산림손실이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | 연도,2001–2025년 비연속 단면·분포 비교,ha/yr 단일 축,choropleth · 63개 feature/scope · 지도 선택 연계,접힌 원자료 표,Global Forest Watch,true
B-034,탄소 저장량,탄소 저장량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | 연도,2000–2025년 비연속 단면·분포 비교,단위별 분리: Mg CO2e/yr · Mg CO₂e/yr · Mg CO₂/yr · ha · Mg C/ha · Mg C,choropleth · 63개 feature/scope · 지도 선택 연계,접힌 원자료 표,Global Forest Watch,true
B-035,LULUCF 관련 면적 변화,LULUCF 관련 면적 변화이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,1961–2025년 비연속 단면·분포 비교,단위별 분리: ha/cap · % · 1000 ha · USD_PPP/ha · 백만 톤 C,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-036,토지이용 변화율,토지이용 변화율이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | 연도,2020–2024년 비연속 단면·분포 비교,%/yr 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-037,토지피복 구성,토지피복 구성이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | 연도,1992–2024년 비연속 단면·분포 비교,1000 ha 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-038,바이오매스 자원 가용량,바이오매스 자원 가용량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 분류 | 세부 분류 | 기술 | 연도,2000–2050년 비연속 단면·분포 비교,단위별 분리: kg/인/일 · Mt/yr · % 인구 · % 중량 · 백만 kW · MW · 두 · % · t/yr,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-039,수력 잠재량,수력 잠재량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | 연도,1965–2030년 비연속 단면·분포 비교,단위별 분리: MW · 백만 kW · MW / GWh/yr · TWh/yr · 십억 kWh/yr,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-040,지열 잠재량,지열 잠재량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기술 | 연도,1980–2026년 비연속 단면·분포 비교,단위별 분리: MW · ℃ · 개소 · 십억 kWh/yr · 백만 kW · ℃ / MW · ℃/km · MWt,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-041,태양광 자원,태양광 자원이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | 기술,2018년 단면 비교,단위별 분리: 지수 · ℃ · kWh/m²/day · kWh/m²/yr · kWh/kWp/yr · kWh/kWp/day · °,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-042,풍력 자원,풍력 자원이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2,2017년 단면 비교,단위별 분리: m/s · % · W/m²,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-043,화석연료 자원량,화석연료 자원량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | detail_2 | 기술 | 연도,1980–2026년 비연속 단면·분포 비교,단위별 분리: 년 · 십억 배럴 · 백만 톤 · 1000 t · 백만 단수톤 · % · 천 배럴/일 · 십억 ft³ · 조 m³ (tcm) · 조 ft³ (tcf) · —,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-044,핵심 광물 종류,핵심 광물 종류이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류,2026년 단면 비교,단위별 분리: — · 해당 여부 · 상태,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-045,광물자원 국제순위,광물자원 국제순위이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류,2026년 단면 비교,단위별 분리: % · 순위 · 쪽,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-046,광물 매장량,광물 매장량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류,2026년 단면 비교,단위별 분리: t · t (Sb 함량) · t (Sn 함량) · t (W 함량) · t (천연) · t REO · 천 t · 천 t (건조 기준) · 천 t (아파타이트),데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
