elementId,publicTitle,dataType,primaryRenderer,specializedRenderer,measureCount,dimensionCount,unitFamilies,explanationRequired,interpretationStatus,directionStatus,scaleStatus,benchmarkStatus,continuousTimeSeriesEligible,sameDenominatorAcrossSeries,sameMethodologyAcrossTime,sameGeographyAcrossTime,missingValuePolicy,mapLinked,mapAggregationLevel,tooltipStatus,publicCopyStatus,visualizationFitResult,finalDisposition
B-002,기후대,numeric | text,spatial-analysis,,4,4,area | percent | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-003,평균 기온과 강수량,numeric,seasonality,,4,1,other,false,not-required,not-required,not-applicable,not-required,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-004,과거·미래 기후전망(CMIP6),numeric,scenario-comparison,,7,3,energy | other | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-005,가뭄 위험,numeric,technology-comparison,,4,3,other,true,covered,covered,not-applicable,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-006,폭염 위험,numeric,technology-comparison,,7,3,other,true,covered,covered,not-applicable,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-007,홍수·호우 위험,numeric,technology-comparison,,5,2,other,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-008,해수면 상승 전망,numeric,scenario-comparison,,200,1,other,true,covered,covered,not-applicable,not-applicable,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-009,생물다양성·기후 위험,numeric,score-trend,,6,5,other | score,true,covered,covered,not-applicable,not-applicable,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-010,기후위험지수,numeric | text,score-trend,,5,2,other | text,true,covered,covered,not-applicable,group-scope-declared,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-011,기후취약성지수,numeric,score-trend,,12,2,other | score,true,covered,covered,not-applicable,group-scope-declared,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-012,재해·재난 이력,numeric,policy-timeline,,10,1,count | currency,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-013,탄소국경조정제도 영향,numeric,technology-comparison,,7,3,percent,true,covered,covered,not-applicable,not-applicable,false,false,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-014,탄소세 도입 효과 전망,numeric,scenario-comparison,,6,2,currency | emissions | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-015,탄소가격 수준,numeric | text,policy-timeline,,7,2,count | emissions | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-016,화석연료 의존도,numeric,kpi-trend,,2,1,percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-017,물 스트레스,numeric,spatial-analysis,,9,4,percent | score,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-018,장기 국내총생산 전망,numeric,scenario-comparison,,7,2,currency | currency-per-period,true,covered,covered,not-applicable,not-applicable,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-019,장기 인구 전망,numeric,scenario-comparison,,3,2,count,true,covered,covered,not-applicable,not-applicable,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-020,복합 위험지수,numeric | text,score-trend,,11,3,count | other | percent | score | text,true,covered,covered,covered,not-applicable,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-021,취약성지수,numeric,score-trend,,14,3,count | currency | other | percent,true,covered,covered,covered,group-scope-declared | not-applicable,true,true,true,false,preserve-null-show-source-reason-never-impute-zero,true,GDL 6개 권역,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-022,기후피해의 경제적 비용,numeric,score-trend,,7,2,count | currency | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-023,건기/우기 유량 차이,numeric,kpi-trend,,9,4,other | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-024,농업 용수 비중,numeric,composition-trend,,5,3,currency | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-025,유역 면적,numeric,spatial-analysis,,4,4,area,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-026,유향(flow direction),numeric | text,spatial-analysis,,2,3,percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-027,지하수 잠재량,numeric,spatial-analysis,,3,3,other,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-028,하천 유량,numeric,spatial-analysis,,10,6,other | percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-029,산림 유형별 면적,numeric,spatial-analysis,,8,2,area,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-030,산림 이득,numeric,spatial-analysis,,3,2,area,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-031,산림 총면적,numeric,spatial-analysis,,7,4,area,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,true,베트남 ADM1 63개 성·시,covered,approved,fit,accepted-public-analysis
B-032,수관 피복률,numeric,spatial-analysis,,2,4,percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,true,베트남 ADM1 63개 성·시,covered,approved,fit,accepted-public-analysis
B-033,연간 산림손실,numeric,spatial-analysis,,4,4,area,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,true,베트남 ADM1 63개 성·시,covered,approved,fit,accepted-public-analysis
B-034,탄소 저장량,numeric,spatial-analysis,,20,5,area | emissions | other,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,true,베트남 ADM1 63개 성·시,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-035,LULUCF 관련 면적 변화,numeric,spatial-analysis,,26,4,area | other | percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-036,토지이용 변화율,numeric,spatial-analysis,,3,2,percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-037,토지피복 구성,numeric,spatial-analysis,,4,2,area,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-038,바이오매스 자원 가용량,numeric,spatial-analysis,,16,4,capacity | other | percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-039,수력 잠재량,numeric,spatial-analysis,,15,4,capacity | energy,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-040,지열 잠재량,numeric,spatial-analysis,,14,5,capacity | count | energy | other,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-041,태양광 자원,numeric,spatial-analysis,,14,4,energy | other,true,covered,covered,not-applicable,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-042,풍력 자원,numeric,spatial-analysis,,5,4,area | other | percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-043,화석연료 자원량,numeric,spatial-analysis,,13,4,other | percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-044,핵심 광물 종류,numeric | text,spatial-analysis,,4,3,other | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-045,광물자원 국제순위,numeric,spatial-analysis,,5,3,other | percent,true,covered,covered,not-applicable,group-scope-declared,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
B-046,광물 매장량,numeric,spatial-analysis,,9,4,count | other,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-047,광물 생산량,numeric | text,spatial-analysis,,10,4,count | other | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
B-048,주요 광산 위치,numeric,spatial-analysis,,3,5,count | other,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,true,시설·사업 위치,covered,approved,fit,accepted-public-analysis
C-001,국가 온실가스 감축목표(NDC),numeric | text,evidence-matrix,,20,6,currency | emissions | other | percent | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-002,격년투명성보고서(BTR),numeric | text,evidence-matrix,,22,7,count | currency | emissions | other | percent | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-003,국가적응계획(NAP),numeric | text,evidence-matrix,,29,6,count | currency | currency-per-period | percent | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-004,장기 저탄소 발전전략,numeric | text,evidence-matrix,,25,6,currency | emissions | energy | other | percent | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-005,기후기술 수요 및 우선기술,numeric | text,evidence-matrix,,19,6,other | score | text,true,covered,covered,not-applicable,group-scope-declared,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-006,파리협정 제6조 양자협력 체계,date | numeric | text,capability-scorecard,,18,6,count | emissions | other | percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-007,파리협정 비시장 접근,date | numeric | text,portfolio-dashboard,,12,6,count | other | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-008,국제 기후협력 이니셔티브,numeric | text,portfolio-dashboard,,25,7,area | count | currency | emissions | other | percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-009,기후변화 법·제도,date | numeric | text,policy-timeline,,39,6,capacity | count | emissions | other | percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
C-010,환경 법·제도,numeric | text,policy-timeline,,27,6,count | percent | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
C-011,치안·안전 정보,numeric | text,score-trend,,17,5,count | other | text,true,covered,covered,not-applicable,not-applicable,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-012,민관협력·조달 제도,numeric | text,evidence-matrix,,24,5,count | currency | other | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-013,외국인 투자제도,numeric | text | 실적치,evidence-matrix,,34,4,count | currency | other | percent | score | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
C-014,사업 인허가 절차,numeric | text,evidence-matrix,,29,5,currency | other | percent | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-015,정책·제도 원문자료,text,evidence-matrix,,2,6,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
C-016,재생에너지 발주·확대계획,numeric | text,spatial-analysis,,12,7,capacity | count | other | percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,true,값이 있는 ADM1 지역,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-017,재생에너지 투자 인센티브,numeric | text,evidence-matrix,,12,7,count | energy | other | percent | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-018,중장기 에너지 전망,numeric | text,scenario-comparison,,15,7,capacity | emissions | energy | percent | text,true,covered,covered,not-applicable,not-applicable,true,true,false,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-019,탄소시장 법·제도와 예산,numeric | text,policy-timeline,,33,6,count | currency | emissions | other | percent | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-020,온실가스 감축사업 기초정보,,status-only,,0,0,,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,status-only,accepted-status-explanation-without-fake-chart
C-021,자발적 탄소시장 사업목록,,status-only,,0,0,,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,status-only,accepted-status-explanation-without-fake-chart
C-022,탄소시장 준비도,numeric | text,capability-scorecard,,19,6,count | currency | emissions | percent | score | text,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
C-023,한계저감비용,,status-only,,0,0,,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,status-only,accepted-status-explanation-without-fake-chart
C-024,산림전용 방지 및 산림보전(REDD+),numeric | text,capability-scorecard,,9,4,currency | emissions | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
C-025,탄소크레딧 사업 및 발행실적,numeric | text,portfolio-dashboard,,16,8,count | emissions | text,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,true,시설·사업 위치,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-001,단위 사업당 CAPEX,numeric,technology-comparison,,1,5,capacity,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-002,시장 성장률,numeric,technology-comparison,,1,4,percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-003,예상 감축량,numeric,technology-comparison,,2,4,emissions,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-004,크레딧 가격 연동 수익성,numeric,technology-comparison,,1,4,percent,true,covered,covered,not-applicable,not-applicable,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-005,감축/적응 구분별 예산 배분 비율,numeric,composition-trend,ClimateBudgetAllocationAnalysisV129,1,3,percent,true,covered,covered,not-applicable,not-applicable,false,false,false,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,specialized-required,accepted-specialized-public-analysis
D-006,기후 관련 조세 수입,numeric,multi-metric-trend,,4,3,currency | emissions | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-007,"기후예산태깅(CBT, Climate Budget Tagging) 도입 여부 및 수준",text,multi-metric-trend,,1,3,text,false,not-required,not-required,not-applicable,not-required,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-008,주관 부처별 기후 예산 규모,numeric,multi-metric-trend,,2,3,currency | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,true,값이 있는 ADM1 지역,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-009,기후대응·기후기술 관련 정부 예산,numeric,multi-metric-trend,,3,3,currency | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
