elementId,publicTitle,mapSelected,currentMapLayer,spatialDataExists,geometryType,spatialScopeType,coordinateMeaning,aggregationLevel,sourceSpatialUnit,targetSpatialUnit,spatialSemanticsVerified,mapBenefit,exclusionReason,finalMapDisposition
A-019,송배전 손실률,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-020,재생에너지 비중,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-021,전력 접근률,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-022,정전 빈도와 지속시간,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-023,발전소 현황,true,true,true,point,facility-site,verified-physical-site,facility,facility-site,point,true,발전소의 입지와 설비 분포를 비교할 수 있습니다.,,point
A-024,베트남 송전망,true,true,true,MultiLineString,network,verified-network-geometry,network-segment,network,line,true,송전망의 연결 구조와 발전소 접근성을 함께 분석할 수 있습니다.,,line
A-025,탄소포집·저장 시설,false,false,true,unknown,unknown,unknown,non-spatial-or-unverified,nation · point,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-026,건물 분포,false,false,true,unknown,unknown,unknown,non-spatial-or-unverified,point,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-027,육상교통 인프라,false,false,true,unknown,unknown,unknown,non-spatial-or-unverified,point,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-028,해안·수자원 인프라,false,false,true,unknown,unknown,unknown,non-spatial-or-unverified,point,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-029,자유무역협정 체결 현황,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-030,한국과의 교역 규모,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-031,물류성과지수,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-032,중간재 교역 규모,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
A-033,해운 연결성,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-001,건기와 우기,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-002,기후대,false,false,true,Raster,raster,unknown,raster,raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-003,평균 기온과 강수량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-004,과거·미래 기후전망(CMIP6),false,false,true,Raster,raster,unknown,raster,raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-005,가뭄 위험,false,false,true,Raster,raster,unknown,raster,raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-006,폭염 위험,false,false,true,Raster,raster,unknown,raster,nation · raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-007,홍수·호우 위험,false,false,true,Raster,raster,unknown,raster,raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-008,해수면 상승 전망,false,false,true,unknown,unknown,unknown,non-spatial-or-unverified,point,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-009,생물다양성·기후 위험,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-010,기후위험지수,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-011,기후취약성지수,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-012,재해·재난 이력,false,false,true,unknown,unknown,unknown,non-spatial-or-unverified,nation · point,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-013,탄소국경조정제도 영향,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-014,탄소세 도입 효과 전망,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-015,탄소가격 수준,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-016,화석연료 의존도,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-017,물 스트레스,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-018,장기 국내총생산 전망,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-019,장기 인구 전망,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-020,복합 위험지수,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-021,취약성지수,true,true,true,Polygon/MultiPolygon,region,source-region-value,six-region,region,admin1,true,6개 권역의 취약성 차이를 행정경계 위에서 비교할 수 있습니다.,,regional-scope
B-022,기후피해의 경제적 비용,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-023,건기/우기 유량 차이,false,false,true,unknown,unknown,unknown,non-spatial-or-unverified,basin · point,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-024,농업 용수 비중,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-025,유역 면적,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,basin · nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-026,유향(flow direction),false,false,true,Raster,raster,unknown,raster,raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-027,지하수 잠재량,false,false,true,Raster,raster,unknown,raster,nation · raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-028,하천 유량,false,false,true,unknown,unknown,unknown,non-spatial-or-unverified,basin · nation · point,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-029,산림 유형별 면적,false,false,true,Raster,raster,unknown,raster,nation · raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-030,산림 이득,false,false,true,Raster,raster,unknown,raster,nation · raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-031,산림 총면적,true,true,true,Polygon/MultiPolygon,admin1,source-region-value,admin1,admin1,admin1,true,성·시별 산림면적 차이를 비교할 수 있습니다.,,admin1
B-032,수관 피복률,true,true,true,Polygon/MultiPolygon,admin1,source-region-value,admin1,admin1,admin1,true,성·시별 수관 피복 차이를 비교할 수 있습니다.,,admin1
B-033,연간 산림손실,true,true,true,Polygon/MultiPolygon,admin1,source-region-value,admin1,admin1,admin1,true,성·시별 산림손실의 공간 분포를 비교할 수 있습니다.,,admin1
B-034,탄소 저장량,true,true,true,Polygon/MultiPolygon,admin1,source-region-value,admin1,admin1,admin1,true,성·시별 산림 탄소의 공간 차이를 비교할 수 있습니다.,,admin1
B-035,LULUCF 관련 면적 변화,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-036,토지이용 변화율,false,false,true,Raster,raster,unknown,raster,nation · raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-037,토지피복 구성,false,false,true,Raster,raster,unknown,raster,raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-038,바이오매스 자원 가용량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-039,수력 잠재량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,basin · nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-040,지열 잠재량,false,false,true,Raster,raster,unknown,raster,nation · point · raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-041,태양광 자원,false,false,true,Raster,raster,unknown,raster,raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-042,풍력 자원,false,false,true,Raster,raster,unknown,raster,nation · raster,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-043,화석연료 자원량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-044,핵심 광물 종류,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-045,광물자원 국제순위,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-046,광물 매장량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-047,광물 생산량,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
B-048,주요 광산 위치,true,true,true,point,facility-site,verified-physical-site,facility,facility-site,point,true,주요 광산의 실제 입지를 다른 자원·인프라와 비교할 수 있습니다.,,point
C-001,국가 온실가스 감축목표(NDC),false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-002,격년투명성보고서(BTR),false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-003,국가적응계획(NAP),false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-004,장기 저탄소 발전전략,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-005,기후기술 수요 및 우선기술,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-006,파리협정 제6조 양자협력 체계,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-007,파리협정 비시장 접근,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-008,국제 기후협력 이니셔티브,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-009,기후변화 법·제도,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-010,환경 법·제도,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-011,치안·안전 정보,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-012,민관협력·조달 제도,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-013,외국인 투자제도,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-014,사업 인허가 절차,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
C-015,정책·제도 원문자료,false,false,true,Polygon/MultiPolygon (scope only),country,source-region-value,country,nation,panel-only,true,데이터 찾기·상세 패널에서 원천 집계수준을 유지하는 편이 정확함,국가 집계·패널 분석이 더 적합하거나 지도에서 추가 분석 이득을 주는 검증 공간표현이 없음,panel-only
