element_id,public_status,data_presence_status,contract_status,primary_renderer,observation_count,entity_count,populated_record_count,measure_count,dimension_count,classification_dimensions,missing_dimensions,duplicate_visible_label_count,mixed_unit_axis_count,latest_value_collapse_lost_records,visualized_source_record_count,source_table_record_count,selector_mismatch_count,result
A-024,actual,actual-records,archetype,spatial-summary,40,722,762,2,5,category|technology,,0,0,36,762,762,0,PASS
A-025,actual,actual-records,archetype,spatial-summary,1,5,6,2,7,technology,,0,0,0,6,6,0,PASS
A-026,actual,actual-records,archetype,spatial-summary,5,0,5,4,4,category|technology,,0,0,0,5,5,0,PASS
A-027,actual,actual-records,archetype,spatial-summary,35,0,35,8,4,category|technology,,0,0,0,35,35,0,PASS
A-028,actual,actual-records,archetype,spatial-summary,19,0,19,8,4,category|technology,,0,0,0,19,19,0,PASS
A-029,actual,actual-records,archetype,policy-timeline,3,19,22,2,5,category,,0,0,0,22,22,0,PASS
A-030,actual,actual-records,archetype,category-comparison,16,0,16,1,3,category,,0,0,12,16,16,0,PASS
A-031,actual,actual-records,archetype,score-benchmark,49,0,49,1,3,category,,0,0,42,49,49,0,PASS
A-032,actual,actual-records,archetype,category-comparison,100,0,100,2,3,category,,0,0,96,100,100,0,PASS
A-033,actual,actual-records,archetype,score-benchmark,82,0,82,1,3,category,,0,0,78,82,82,0,PASS
B-001,actual,actual-records,archetype,seasonality,38,0,38,5,2,,,0,0,0,38,38,0,PASS
B-002,actual,actual-records,archetype,spatial-summary,19,0,19,4,4,,,0,0,0,19,19,0,PASS
B-003,actual,actual-records,archetype,seasonality,496,0,496,4,1,,,0,0,492,496,496,0,PASS
B-004,actual,actual-records,archetype,scenario-range,2047,0,2047,7,3,technology,,0,0,2020,2047,2047,0,PASS
B-005,actual,actual-records,archetype,category-comparison,503,0,503,4,3,technology,,0,0,496,503,503,0,PASS
B-006,actual,actual-records,archetype,category-comparison,1423,0,1422,7,3,category,,0,0,1404,1423,1423,0,PASS
B-007,actual,actual-records,archetype,category-comparison,1185,0,1185,5,2,,,0,0,1170,1185,1185,0,PASS
B-008,actual,actual-records,archetype,scenario-range,1800,0,1800,200,1,,,0,0,1600,1800,1800,0,PASS
B-009,actual,actual-records,archetype,score-benchmark,435,0,435,6,5,category|technology,,0,0,174,435,435,0,PASS
B-010,partial,partial-records,archetype,score-benchmark,6,0,6,5,2,,,0,0,2,6,6,0,PASS
B-011,actual,actual-records,archetype,score-benchmark,1500,0,1500,12,2,,,0,0,1450,1500,1500,0,PASS
B-012,partial,partial-records,archetype,policy-timeline,1,0,1,10,1,,,0,0,0,1,1,0,PASS
B-013,actual,actual-records,archetype,score-benchmark,35,0,33,7,3,,,0,0,0,35,35,0,PASS
B-014,actual,actual-records,archetype,scenario-range,13,0,13,6,2,,,0,0,5,13,13,0,PASS
B-015,actual,actual-records,archetype,policy-timeline,15,0,13,7,2,,,0,0,1,15,15,0,PASS
B-016,actual,actual-records,archetype,kpi-trend,45,0,35,2,1,,,0,0,33,45,45,0,PASS
B-017,actual,actual-records,archetype,spatial-summary,1589,0,1589,9,4,technology,,0,0,168,1589,1589,0,PASS
B-018,actual,actual-records,archetype,scenario-range,282,0,282,7,2,,,0,0,258,282,282,0,PASS
B-019,actual,actual-records,archetype,scenario-range,110,0,110,3,2,,,0,0,99,110,110,0,PASS
B-020,actual,actual-records,archetype,score-benchmark,2696,0,2695,11,3,,,0,0,2372,2696,2696,0,PASS
B-021,actual,actual-records,archetype,score-benchmark,2970,0,2969,14,3,,,0,0,2852,2970,2970,0,PASS
B-022,actual,actual-records,archetype,score-benchmark,11,0,11,7,2,,,0,0,0,11,11,0,PASS
B-023,actual,actual-records,archetype,kpi-trend,11,0,10,9,4,category|technology,,0,0,0,11,11,0,PASS
B-024,actual,actual-records,archetype,composition,205,0,204,5,3,technology,,0,0,198,205,205,0,PASS
B-025,actual,actual-records,archetype,spatial-summary,19,0,18,4,4,technology,,0,0,0,19,19,0,PASS
B-026,actual,actual-records,archetype,spatial-summary,11,0,11,2,3,technology,,0,0,0,11,11,0,PASS
B-027,actual,actual-records,archetype,spatial-summary,54,0,53,3,3,technology,,0,0,51,54,54,0,PASS
B-028,actual,actual-records,archetype,spatial-summary,16,0,15,10,6,technology,,0,0,1,16,16,0,PASS
B-029,partial,partial-records,archetype,spatial-summary,166,0,166,8,2,technology,,0,0,159,166,166,0,PASS
B-030,actual,actual-records,archetype,spatial-summary,37,0,36,3,2,technology,,0,0,34,37,37,0,PASS
B-031,actual,actual-records,archetype,spatial-summary,208,0,208,7,4,technology,,0,0,1,208,208,0,PASS
B-032,actual,actual-records,archetype,spatial-summary,136,0,136,2,4,technology,,0,0,68,136,136,0,PASS
B-033,actual,actual-records,archetype,spatial-summary,2142,0,2142,4,4,technology,,0,0,2056,2142,2142,0,PASS
B-034,actual,actual-records,archetype,spatial-summary,498,0,497,20,5,category|technology,,0,0,24,498,498,0,PASS
B-035,actual,actual-records,archetype,spatial-summary,1764,0,1763,26,4,category|technology,,0,0,1723,1764,1764,0,PASS
B-036,actual,actual-records,archetype,spatial-summary,48,0,48,3,2,,,0,0,14,48,48,0,PASS
B-037,actual,actual-records,archetype,spatial-summary,684,0,667,4,2,,,0,0,628,684,684,0,PASS
B-038,actual,actual-records,archetype,spatial-summary,190,0,187,16,4,category|technology,,0,0,165,190,190,0,PASS
B-039,actual,actual-records,archetype,spatial-summary,165,0,164,15,4,category|technology,,0,0,147,165,165,0,PASS
B-040,actual,actual-records,archetype,spatial-summary,102,0,101,14,5,category|technology,,0,0,68,102,102,0,PASS
B-041,actual,actual-records,archetype,spatial-summary,50,0,50,14,4,technology,,0,0,0,50,50,0,PASS
B-042,actual,actual-records,archetype,spatial-summary,142,0,142,5,4,technology,,0,0,0,142,142,0,PASS
B-043,actual,actual-records,archetype,spatial-summary,274,0,273,13,4,technology,,0,0,236,274,274,0,PASS
B-044,actual,actual-records,archetype,spatial-summary,26,0,24,4,3,technology,,0,0,0,26,26,0,PASS
B-045,actual,actual-records,archetype,spatial-summary,46,0,46,5,3,technology,,0,0,0,46,46,0,PASS
B-046,actual,actual-records,archetype,spatial-summary,13,0,8,9,4,category|technology,,0,0,0,13,13,0,PASS
B-047,actual,actual-records,archetype,spatial-summary,21,0,19,10,4,category|technology,,0,0,9,21,21,0,PASS
B-048,actual,actual-records,archetype,spatial-summary,10,8,18,3,5,technology,,0,0,0,18,18,0,PASS
C-001,actual,actual-records,archetype,evidence-matrix,49,0,49,20,6,category|technology,,0,0,0,49,49,0,PASS
C-002,actual,actual-records,archetype,evidence-matrix,81,0,76,22,7,category|technology,,0,0,0,81,81,0,PASS
C-003,actual,actual-records,archetype,evidence-matrix,96,0,95,29,6,category|technology,,0,0,0,96,96,0,PASS
C-004,actual,actual-records,archetype,evidence-matrix,58,0,56,25,6,category|technology,,0,0,0,58,58,0,PASS
C-005,actual,actual-records,archetype,evidence-matrix,134,0,134,19,6,category|technology,,0,0,0,134,134,0,PASS
C-006,actual,actual-records,archetype,capability-scorecard,47,0,46,18,6,category|technology,,0,0,0,47,47,0,PASS
C-007,actual,actual-records,archetype,portfolio,32,0,31,12,6,category|technology,,0,0,0,32,32,0,PASS
C-008,actual,actual-records,archetype,portfolio,137,98,232,25,7,category|technology,,0,0,0,235,235,0,PASS
C-009,actual,actual-records,archetype,policy-timeline,182,0,182,39,6,category|technology,,0,0,0,182,182,0,PASS
C-010,actual,actual-records,archetype,policy-timeline,59,0,59,27,6,category|technology,,0,0,0,59,59,0,PASS
C-011,actual,actual-records,archetype,score-benchmark,44,0,42,17,5,category,,0,0,0,44,44,0,PASS
C-012,actual,actual-records,archetype,evidence-matrix,92,0,86,24,5,category,,0,0,0,92,92,0,PASS
C-013,actual,actual-records,archetype,evidence-matrix,50,0,50,34,4,category,,0,0,0,50,50,0,PASS
C-014,actual,actual-records,archetype,evidence-matrix,93,0,92,29,5,category|technology,,0,0,0,93,93,0,PASS
C-015,actual,actual-records,archetype,evidence-matrix,21,0,21,2,6,category|technology,,0,0,0,21,21,0,PASS
C-016,actual,actual-records,archetype,policy-timeline,817,0,781,12,7,category|technology,,0,0,0,817,817,0,PASS
C-017,actual,actual-records,archetype,evidence-matrix,52,0,51,12,7,category|technology,,0,0,0,52,52,0,PASS
C-018,actual,actual-records,archetype,scenario-range,121,0,121,15,7,category|technology,,0,0,0,121,121,0,PASS
C-019,actual,actual-records,archetype,evidence-matrix,93,0,88,33,6,category|technology,,0,0,0,93,93,0,PASS
C-020,not-collected,not-collected,status-only,status-only,0,0,0,0,0,,,0,0,0,0,0,0,PASS
C-021,not-collected,not-collected,status-only,status-only,0,0,0,0,0,,,0,0,0,0,0,0,PASS
C-022,actual,actual-records,archetype,capability-scorecard,68,0,67,19,6,category|technology,,0,0,0,68,68,0,PASS
C-023,not-collected,not-collected,status-only,status-only,0,0,0,0,0,,,0,0,0,0,0,0,PASS
C-024,actual,actual-records,archetype,capability-scorecard,14,0,14,9,4,category|technology,,0,0,0,14,14,0,PASS
C-025,actual,actual-records,archetype,portfolio,15,146,159,16,8,technology,,0,0,0,161,161,0,PASS
D-001,actual,actual-records,archetype,category-comparison,14,0,14,1,5,category|technology,,0,0,0,14,14,0,PASS
D-002,actual,actual-records,archetype,category-comparison,8,0,6,1,4,category|technology,,0,0,0,8,8,0,PASS
D-003,actual,actual-records,archetype,category-comparison,12,0,8,2,4,category|technology,,0,0,0,12,12,0,PASS
D-004,actual,actual-records,archetype,category-comparison,15,0,15,1,4,category|technology,,0,0,0,15,15,0,PASS
D-005,actual,actual-records,archetype,multi-metric-trend,10,0,8,1,3,category,,0,0,1,10,10,0,PASS
D-006,actual,actual-records,archetype,multi-metric-trend,10,0,7,4,3,category,,0,0,2,10,10,0,PASS
D-007,actual,actual-records,archetype,multi-metric-trend,3,0,3,1,3,category,,0,0,0,3,3,0,PASS
D-008,actual,actual-records,archetype,multi-metric-trend,15,0,14,2,3,category,,0,0,0,15,15,0,PASS
D-009,actual,actual-records,archetype,multi-metric-trend,7,0,7,3,3,category,,0,0,2,7,7,0,PASS
D-010,actual,actual-records,archetype,multi-metric-trend,10,0,10,3,3,category,,0,0,2,10,10,0,PASS
D-011,actual,actual-records,archetype,category-comparison,400,0,354,1,4,category|technology,,0,0,274,400,400,0,PASS
D-012,actual,actual-records,archetype,category-comparison,14,22,36,2,7,category|technology,,0,0,0,36,36,0,PASS
D-013,actual,actual-records,archetype,score-benchmark,21,0,21,1,3,category,,0,0,0,21,21,0,PASS
D-014,actual,actual-records,archetype,portfolio,6,164,170,2,6,category|technology,,0,0,0,170,170,0,PASS
D-015,actual,actual-records,archetype,portfolio,9,650,659,2,6,category|technology,,0,0,0,659,659,0,PASS
D-016,actual,actual-records,archetype,portfolio,9,232,241,2,7,category|technology,,0,0,0,241,241,0,PASS
D-017,actual,actual-records,archetype,portfolio,2,10,12,2,7,category|sector|technology,,0,0,0,12,12,0,PASS
D-018,actual,actual-records,archetype,portfolio,4,4,8,2,7,category|sector|technology,,0,0,0,8,8,0,PASS
D-019,actual,actual-records,archetype,portfolio,5,10,14,2,6,category|technology,,0,0,0,15,15,0,PASS
D-020,actual,actual-records,archetype,portfolio,2,8,10,3,10,category|sector|technology,,0,0,0,10,10,0,PASS
D-021,actual,actual-records,archetype,portfolio,8,640,648,2,6,category|technology,,0,0,0,648,648,0,PASS
D-022,actual,actual-records,archetype,portfolio,3,15,18,2,6,category|technology,,0,0,0,18,18,0,PASS
D-023,actual,actual-records,archetype,portfolio,8,71,79,2,12,category|sector|technology,,0,0,0,79,79,0,PASS
D-024,actual,actual-records,archetype,portfolio,5,7,11,3,5,category|technology,,0,0,0,12,12,0,PASS
D-025,actual,actual-records,archetype,portfolio,17,132,149,2,7,category|technology,,0,0,0,149,149,0,PASS
D-026,actual,actual-records,archetype,portfolio,3,14,17,2,6,category|technology,,0,0,0,17,17,0,PASS
E-001,public-authorized,actual-records,archetype,directory,0,15,15,1,2,,,0,0,0,15,15,0,PASS
E-002,public-authorized,actual-records,archetype,directory,0,2,2,1,3,,,0,0,0,2,2,0,PASS
E-003,public-authorized,actual-records,archetype,directory,0,6,6,1,2,,,0,0,0,6,6,0,PASS
E-004,public-authorized,actual-records,archetype,directory,0,18,18,1,6,,,0,0,0,18,18,0,PASS
E-005,public-authorized,actual-records,archetype,directory,0,20,20,1,3,,,0,0,0,20,20,0,PASS
E-006,public-authorized,actual-records,archetype,directory,0,14,14,1,9,,,0,0,0,14,14,0,PASS
E-007,public-authorized,partial-records,archetype,capability-scorecard,5,19,22,6,3,category,,0,0,0,24,24,0,PASS
E-008,public-authorized,partial-records,archetype,document-library,28,13,39,5,6,category|technology,,0,0,3,41,41,0,PASS
E-009,public-authorized,partial-records,archetype,kpi-trend,6,0,4,6,1,,,0,0,0,6,6,0,PASS
E-010,public-authorized,partial-records,archetype,score-benchmark,30,0,27,4,2,,,0,0,6,30,30,0,PASS
E-011,data-entry-planned,no-populated-record,status-only,status-only,1,0,0,1,2,technology,,0,0,0,1,1,0,PASS
E-012,public-authorized,partial-records,specialized,paired-category-comparison,91,0,88,8,5,occupation|sex,,0,0,1,91,91,0,PASS
E-013,schema-only,no-populated-record,status-only,status-only,5,0,0,5,2,category,,0,0,0,5,5,0,PASS
E-014,public-authorized,actual-records,archetype,policy-timeline,0,2,2,1,3,,,0,0,0,2,2,0,PASS
E-015,public-authorized,actual-records,archetype,evidence-matrix,8,0,8,1,1,,,0,0,7,8,8,0,PASS
E-016,public-authorized,actual-records,archetype,capability-scorecard,0,4,4,1,3,sector,,0,0,0,4,4,0,PASS
E-017,public-authorized,actual-records,archetype,evidence-matrix,10,0,10,2,1,,,0,0,8,10,10,0,PASS
E-018,public-authorized,actual-records,archetype,portfolio,0,21,21,1,1,,,0,0,0,21,21,0,PASS
E-019,public-authorized,actual-records,archetype,directory,0,9,9,1,2,,,0,0,0,9,9,0,PASS
E-020,public-authorized,actual-records,archetype,portfolio,0,33,33,2,2,,,0,0,0,33,33,0,PASS
