elementId,surface,before,decision,after,reason
B-021,legend,지역 취약성선택 데이터 · GVI 취약성 지수 · 0–100 지수숨기기,KEEP,,states the data and its reading in reader-facing Korean
B-021,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
B-031,left-list,산림 총면적 / 성·시별 산림면적,KEEP,,states the data and its reading in reader-facing Korean
B-031,legend,산림 총면적선택 데이터 · 성(省)별 수관 면적(2010) · ha숨기기,KEEP,,states the data and its reading in reader-facing Korean
B-031,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
B-032,left-list,수관 피복률 / 성·시별 수관피복률,KEEP,,states the data and its reading in reader-facing Korean
B-032,legend,수관 피복률선택 데이터 · 성(省)별 수관 피복률 — 임계 30% · %숨기기,KEEP,,states the data and its reading in reader-facing Korean
B-032,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
B-033,left-list,연간 산림손실 / 지역별 손실·연도 변화,KEEP,,states the data and its reading in reader-facing Korean
B-033,legend,연간 산림손실선택 데이터 · 연간 수관 손실 — 성(省) 단위 · ha/yr숨기기,KEEP,,states the data and its reading in reader-facing Korean
B-033,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
B-034,left-list,산림 탄소 / 저장·배출·흡수량,KEEP,,states the data and its reading in reader-facing Korean
B-034,legend,산림 탄소선택 데이터 · 성(省)별 산림탄소 순플럭스(연평균) · Mg CO₂e/yr숨기기,KEEP,,states the data and its reading in reader-facing Korean
B-034,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
B-048,left-list,주요 광산 / 위치·광종 분포,KEEP,,states the data and its reading in reader-facing Korean
B-048,legend,주요 광산선택 데이터 · 주요 광산 · 개숨기기,KEEP,,states the data and its reading in reader-facing Korean
B-048,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
C-025,left-list,탄소크레딧 사업 / 위치·유형별 분포,KEEP,,states the data and its reading in reader-facing Korean
C-025,legend,탄소크레딧 사업선택 데이터 · 탄소크레딧 사업 · 개숨기기,KEEP,,states the data and its reading in reader-facing Korean
C-025,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
D-008,left-list,지역 기후예산 / 성·시별 기후예산 규모,KEEP,,states the data and its reading in reader-facing Korean
D-008,legend,지역 기후예산선택 데이터 · 성 단위 기후변화 지출 누계 · VND숨기기,KEEP,,states the data and its reading in reader-facing Korean
D-008,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
D-018,left-list,적응기금 사업 / 참여지역·활동지역,KEEP,,states the data and its reading in reader-facing Korean
D-018,legend,적응기금 사업선택 데이터 · 지역 협력범위·세부 활동지역 · 사업숨기기,KEEP,,states the data and its reading in reader-facing Korean
D-018,selected-detail,"데이터 지도선택 데이터 1개를 보고, 필요하면 보조 데이터 1개를 함께 보세요.접기국가베트남방글라데시 · 준비 중필리핀 · 준비 중캄보디아 · 준비 중인도네시아 · 준비 중라오스 · 준비 중스리랑카 · 준비 중인도 · 준비 중말레이시아 · 준비 중이집트 · 준비 중전체 범위 보기모두 지우기추천 분석전력 인프라송전망 + 발전소재생에너지 계획지역별 계획 + 송전망·발전소산림 변화산림손실 + 산림면적·탄소기후 취약성권역 위험도 + 기후예산·적응사업기후재원 사업적응기금 지역 협력범위 + 검증된 탄소사업지지도 데이터지도에서 확인할 데이터를 선택하세요에너지·인프라발전소입지·발전원·설비용량 분포베트남 송전망연결구조·전압별 분포재생에너지 지역계획성·시별 계획용량산림·토지산림 총면적성·시별 산림면적수관 피복률성·시별 수관피",KEEP,,states the data and its reading in reader-facing Korean
