pageType,route,surface,text,decision,replacement,reason
finder,C-001,finder-card,국가 온실가스 감축목표(NDC)의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-002,finder-card,경제관리·구조정책·사회적 포용·공공부문 관리 역량이 어떻게 변했는지 확인할 수 있습니다.,KEEP,,states the data and its reading in reader-facing Korean
finder,C-003,finder-card,국가적응계획(NAP)의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-003,finder-card,국내총생산 및 경제성장의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-008,finder-card,국제 기후협력 이니셔티브의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-004,finder-card,국제기구 현지사무소의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-021,finder-card,국제기구·개발은행 사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-023,finder-card,국제협력·기후재원 사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-012,finder-card,"직군과 성별에 따른 고용 규모, 구성비, 여성 비중과 임금 차이를 확인할 수 있습니다.",KEEP,,states the data and its reading in reader-facing Korean
finder,E-011,finder-card,"현재 공개된 평가값은 없으며, 전문가 평가와 현장조사 후 입력할 예정인 항목을 안내합니다.",KEEP,,states the data and its reading in reader-facing Korean
finder,D-006,finder-card,기후 관련 조세 수입의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-014,finder-card,기후·녹색성장 양자협정의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-008,finder-card,기후기술 논문·특허의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-005,finder-card,기후기술 수요 및 우선기술의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-002,finder-card,기후대의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-009,finder-card,기후대응·기후기술 관련 정부 예산의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-009,finder-card,기후변화 법·제도의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-007,finder-card,"기후예산태깅(CBT, Climate Budget Tagging) 도입 여부 및 수준의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다",KEEP,,states the data and its reading in reader-facing Korean
finder,B-010,finder-card,기후위험지수의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-011,finder-card,기후취약성지수의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-022,finder-card,기후피해의 경제적 비용의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-003,finder-card,녹색기후기금 국가지정기관의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-020,finder-card,녹색기후기금 사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-013,finder-card,녹색성장지수의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-024,finder-card,농업 용수 비중의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-001,finder-card,단위 사업당 CAPEX의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-014,finder-card,대외경제협력기금 사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-005,finder-card,대학·연구기관·시민사회의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-017,finder-card,물 스트레스의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-031,finder-card,물류성과지수의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-025,finder-card,민간 인프라 투자의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-012,finder-card,민관협력·조달 제도의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-038,finder-card,바이오매스 자원 가용량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-018,finder-card,발전설비 용량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-023,finder-card,발전소 현황의 지역별 분포와 지역 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-017,finder-card,발전원별 균등화 발전비용의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-024,finder-card,베트남 송전망의 지역별 분포와 지역 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-024,finder-card,벤처·임팩트 투자의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-020,finder-card,복합 위험지수의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-011,finder-card,부문별 온실가스 배출량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-001,finder-card,부패인식지수(CPI)의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-004,finder-card,빈곤율 및 극빈곤율의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-014,finder-card,사업 인허가 절차의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-029,finder-card,산림 유형별 면적의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-030,finder-card,산림 이득의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-031,finder-card,산림 총면적의 지역별 분포와 지역 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-024,finder-card,산림전용 방지 및 산림보전(REDD+)의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-005,finder-card,산업구조의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-009,finder-card,생물다양성·기후 위험의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-008,finder-card,소득 불평등(지니계수)의 최근 수준과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-019,finder-card,송배전 손실률의 최근 수준과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-032,finder-card,수관 피복률의 지역별 분포와 지역 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-039,finder-card,수력 잠재량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-002,finder-card,시장 성장률의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-033,finder-card,연간 산림손실의 지역별 분포와 지역 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-010,finder-card,연구개발·혁신 역량의 최근 수준과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-003,finder-card,예상 감축량의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-020,finder-card,"현재 수집된 원자료가 없으며, 향후 사업 타당성 검토에 필요한 기초정보의 수집 상태를 안내합니다.",KEEP,,states the data and its reading in reader-facing Korean
finder,A-009,finder-card,온실가스 배출집약도의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-007,finder-card,온실가스 산정·보고·검증 체계의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-010,finder-card,온실가스 종류별 배출량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-012,finder-card,온실가스 총배출량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-013,finder-card,외국인 투자제도의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-013,finder-card,"숙련인력, 부품조달, 예방정비, 서비스 인프라와 유사시설 실적을 수집하기 위한 입력 양식이며, 현재 실제 입력값은 없습니다.",KEEP,,states the data and its reading in reader-facing Korean
finder,B-025,finder-card,유역 면적의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-026,finder-card,유향(flow direction)의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-027,finder-card,육상교통 인프라의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-007,finder-card,인구 및 도시화의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-021,finder-card,"현재 수집된 사업목록이 없으며, 향후 공식 사업등록부를 기준으로 수집할 대상과 상태를 안내합니다.",KEEP,,states the data and its reading in reader-facing Korean
finder,A-029,finder-card,자유무역협정 체결 현황의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-018,finder-card,장기 국내총생산 전망의 시나리오별 전망과 기간별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-019,finder-card,장기 인구 전망의 시나리오별 전망과 기간별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-004,finder-card,장기 저탄소 발전전략의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-016,finder-card,재생에너지 발주·확대계획의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-020,finder-card,재생에너지 비중의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-017,finder-card,재생에너지 투자 인센티브의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-012,finder-card,재해·재난 이력의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-018,finder-card,적응기금 사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-021,finder-card,전력 접근률의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-016,finder-card,정부·지방자치단체 협력사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-022,finder-card,정전 빈도와 지속시간의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-015,finder-card,정책·제도 원문자료의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-026,finder-card,정치적 위험 보증사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-008,finder-card,주관 부처별 기후 예산 규모의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-048,finder-card,주요 광산 위치의 지역별 분포와 지역 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-032,finder-card,중간재 교역 규모의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-018,finder-card,중장기 에너지 전망의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-015,finder-card,지속가능발전목표 세부 달성도의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-014,finder-card,지속가능발전목표 지수의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-040,finder-card,지열 잠재량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-027,finder-card,지하수 잠재량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-021,finder-card,취약성지수의 지역별 분포와 지역 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-011,finder-card,치안·안전 정보의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-004,finder-card,크레딧 가격 연동 수익성의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-034,finder-card,탄소 저장량의 지역별 분포와 지역 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-015,finder-card,탄소가격 수준의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-013,finder-card,탄소국경조정제도 영향의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-014,finder-card,탄소세 도입 효과 전망의 시나리오별 전망과 기간별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-019,finder-card,탄소시장 법·제도와 예산의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-022,finder-card,탄소시장 준비도의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-025,finder-card,탄소크레딧 사업 및 발행실적의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-025,finder-card,탄소포집·저장 시설의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-041,finder-card,태양광 자원의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-036,finder-card,토지이용 변화율의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-037,finder-card,토지피복 구성의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-002,finder-card,파리협정 국가지정기관의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-007,finder-card,파리협정 비시장 접근의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-006,finder-card,파리협정 제6조 양자협력 체계의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-003,finder-card,평균 기온과 강수량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-006,finder-card,폭염 위험의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-042,finder-card,풍력 자원의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-028,finder-card,하천 유량의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-023,finder-card,"현재 공개된 한계저감비용 값이 없으며, 향후 동일 가격연도와 산정가정으로 수집해야 할 상태를 안내합니다.",KEEP,,states the data and its reading in reader-facing Korean
finder,D-015,finder-card,한국 공적개발원조 사업의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-019,finder-card,한국 기관 현지사무소의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-018,finder-card,한국 기업의 현지 진출의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-017,finder-card,한국 기후기술 비교우위의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-016,finder-card,한국 기후기술 성숙도의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-017,finder-card,한국 ODA 사업기획·입찰의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-030,finder-card,한국과의 교역 규모의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-020,finder-card,한국의 공공·민간 지원제도의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-008,finder-card,해수면 상승 전망의 시나리오별 전망과 기간별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-028,finder-card,해안·수자원 인프라의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-033,finder-card,해운 연결성의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-044,finder-card,핵심 광물 종류의 최근 수준과 항목별 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-006,finder-card,현지 투자자 네트워크의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-007,finder-card,홍수·호우 위험의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-010,finder-card,화석연료 보조금 규모의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-016,finder-card,화석연료 의존도의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-043,finder-card,화석연료 자원량의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,C-010,finder-card,환경 법·제도의 제도 현황과 시행시점·주요 내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-001,finder-card,CTCN 국가지정기구의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,D-019,finder-card,CTCN 기술지원의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,B-035,finder-card,LULUCF 관련 면적 변화의 항목별 구성과 연도별 변화를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,E-015,finder-card,NDC 파트너십 참여의 기관별 역할·전문분야·지원내용을 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
finder,A-013,finder-card,NDC와 지속가능발전목표 연계의 항목별 구성과 항목 간 차이를 확인할 수 있습니다,KEEP,,states the data and its reading in reader-facing Korean
detail,A-001,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-002,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-003,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-004,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-005,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-006,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-007,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-008,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-009,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-010,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-011,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-012,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-013,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-014,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-015,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-016,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-017,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-018,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-019,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-020,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-021,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-022,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-023,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-024,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-025,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-026,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-027,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-028,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-029,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-030,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-031,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-032,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,A-033,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-001,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-002,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-003,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-004,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-005,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-006,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-007,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-008,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-009,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-010,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-011,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-012,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-013,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-014,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-015,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-016,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-017,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-018,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-019,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-020,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-021,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-022,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-023,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-024,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
detail,B-025,analysis,데이터 분석,KEEP,,states the data and its reading in reader-facing Korean
