route,surface,text,decision,replacement,reason
download,LABEL,지속가능발전목표 세부 달성도 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,SDSN,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,1차 에너지 소비구조 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,발전원별 균등화 발전비용 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,발전설비 용량 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,IRENA,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,송배전 손실률 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,재생에너지 비중 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,IRENA,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,전력 접근률 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,정전 빈도와 지속시간 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,EVN,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,발전소 현황 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,베트남 송전망 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,탄소포집·저장 시설 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,건물 분포 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,육상교통 인프라 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,해안·수자원 인프라 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,자유무역협정 체결 현황 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,WTO,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,VCCI,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,한국과의 교역 규모 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,물류성과지수 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,중간재 교역 규모 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,OECD,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,해운 연결성 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,UNCTAD,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,건기와 우기 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CCKP,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CRU,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,기후대 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,평균 기온과 강수량 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CCKP,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CRU,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,과거·미래 기후전망(CMIP6) 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CMIP6,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,ESMAP,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,가뭄 위험 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,ERA5,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,폭염 위험 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CCKP,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CMIP6,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,홍수·호우 위험 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CCKP,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CMIP6,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,해수면 상승 전망 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,IPCC,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,AR6,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,NASA,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,IPCC,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,생물다양성·기후 위험 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,ND-GAIN,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,기후위험지수 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,기후취약성지수 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,ND-GAIN,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,재해·재난 이력 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,EM-DAT,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,탄소국경조정제도 영향 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CBAM,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,탄소세 도입 효과 전망 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,CCDR,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,탄소가격 수준 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,화석연료 의존도 선택,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,물 스트레스 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,FAO,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,AQUASTAT,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,SDG,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,장기 국내총생산 전망 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,IIASA,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,SSP,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,장기 인구 전망 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,IIASA,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,SSP,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,IIASA,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,복합 위험지수 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,EU,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,JRC,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,INFORM,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,취약성지수 선택,KEEP,,states the data and its reading in reader-facing Korean
download,BUTTON,GDL,KEEP,,states the data and its reading in reader-facing Korean
download,LABEL,기후피해의 경제적 비용 선택,KEEP,,states the data and its reading in reader-facing Korean
