route,surface,userNeeds,before,decision,after,rationale,verification,editorialReview
A-007,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-008,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-009,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-010,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-011,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-012,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-013,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-014,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-015,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-016,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-018,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-019,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-020,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-021,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-022,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-023,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-024,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-025,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-026,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-027,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-028,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-029,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-030,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-031,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-032,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
A-033,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-001,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-002,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-003,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-004,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-005,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-006,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-007,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-008,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-009,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-010,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-011,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-012,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-013,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-014,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-015,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-016,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-017,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-018,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-019,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-020,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-021,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-022,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-023,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-024,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-025,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-026,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-027,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-028,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-029,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-030,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-031,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-032,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-033,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-035,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-036,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-037,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-038,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-039,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-040,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-041,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-042,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-043,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-044,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-045,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-046,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-047,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
B-048,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-001,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-002,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-003,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-004,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-005,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-006,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-007,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-008,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-009,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-010,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-011,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-012,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-013,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-014,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-015,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-016,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-017,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-018,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-019,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-020,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
