elementId,elementLabel,dataPresenceStatus,visited,interactionReviewed,semanticReviewed,evidence,selectCount,barCount,note
A-017,LCOE(균등화 발전비용),actual-records,YES,NO_EFFECT,YES,YES,3,24,단위: USD/MWh
A-018,기술별 발전 설비용량,actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-019,송배전 손실률(T&D Loss),actual-records,YES,NO_EFFECT,NO,NO,1,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-020,재생에너지 비중,actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-021,전력 접근률,actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-022,"정전빈도[SAIDI, SAIFI]",actual-records,YES,NO_EFFECT,NO,NO,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-023,"발전소[위치, 용량]",actual-records,YES,NO_EFFECT,INCOMPLETE,YES,5,1,
A-024,"전력망[위치, 미공급 지역]",actual-records,YES,NO_CONTROL,YES,NO,1,1,단위: 건
A-025,CCS 시설,actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,1,
A-026,건물 풋프린트(Footprint),actual-records,YES,NO_EFFECT,INCOMPLETE,NO,3,0,
A-027,"교통 인프라[railway, road]",actual-records,YES,NO_EFFECT,NO,NO,4,9,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-028,해안 인프라; 수자원 인프라,actual-records,YES,NO_EFFECT,NO,NO,4,1,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-029,FTA 체결 현황,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,1,0,
A-030,한-개도국 교역액,actual-records,YES,NO_EFFECT,YES,NO,3,4,단위: 10억 USD
A-031,물류성과지수(LPI),actual-records,YES,NO_EFFECT,NO,NO,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
A-032,중간재 교역 규모,actual-records,YES,NO_EFFECT,YES,NO,4,2,단위: 천 USD
A-033,해운 연결성(LSCI),actual-records,NO,NO_CONTROL,NO,NO,0,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-001,건기/우기,actual-records,NO,NO_CONTROL,NO,NO,0,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-002,기후대(Climate zone),actual-records,NO,NO_CONTROL,NO,NO,0,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-003,연평균 기온; 연평균 강수,actual-records,NO,NO_CONTROL,INCOMPLETE,NO,0,0,
B-004,"CMIP6 기반 과거/미래 기후[기온(tas), 최고기온(tasmax), 최저기온(tasmin), 강수(pr), 풍속(sfcWind), 일사량(rsds), 상대습도(hurs)]",actual-records,NO,NO_CONTROL,INCOMPLETE,NO,0,0,
B-005,"가뭄[연속 건조일수(CDD), 표준강수지수(SPEI12), 토양수분]",actual-records,NO,NO_CONTROL,INCOMPLETE,YES,0,0,
B-006,"폭염[폭염일수(TX35), 폭염일수(TX40), 열대야(TR20), 열대야(TR25), Heat Index(HI35)]",actual-records,NO,NO_CONTROL,INCOMPLETE,NO,0,0,
B-007,"홍수[최대 1일 강수(RX1day), 최대 5일 강수(RX5day), 호우일수(R20mm), 호우일수(R50mm), 연속 습윤일수(CWD)]",actual-records,NO,NO_CONTROL,INCOMPLETE,NO,0,0,
B-008,"NASA 해수면 상승 전망[SSP1, SSP2, SSP3, SSP4, SSP5]",actual-records,YES,NO_CONTROL,INCOMPLETE,YES,0,0,
B-009,WWF 생물다양성·기후 리스크,actual-records,YES,NO_EFFECT,YES,NO,5,0,단위: 지수
B-010,기후 리스크 지수(CRI),partial-records,YES,NO_EFFECT,YES,NO,4,0,단위: 순위
B-011,기후 취약성 지수(ND-GAIN),actual-records,YES,NO_EFFECT,NO,NO,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-012,재해·재난 이력(EM-DAT),partial-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-013,World Bank CBAM 영향 지수,actual-records,YES,NO_EFFECT,YES,NO,4,1,단위: %
B-014,"CCDR 탄소세 시뮬레이션 결과[배출감소율, GDP 영향, 세수 효과]",actual-records,YES,NO_EFFECT,YES,NO,3,0,단위: USD/tCO₂e
B-015,"탄소 가격 수준[ETS, Carbon Tax]",actual-records,YES,NO_EFFECT,NO,NO,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-016,화석연료 의존도(Fossil fuel energy consumption),actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-017,WRI Aqueduct 물 스트레스 지수,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-018,"SSP GDP 전망[SSP1, SSP2, SSP3, SSP4, SSP5]",actual-records,YES,NO_EFFECT,NO,NO,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-019,"SSP 인구 전망[SSP1, SSP2, SSP3, SSP4, SSP5]",actual-records,YES,NO_EFFECT,NO,NO,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-020,EU/UN INFORM Risk Index(복합 리스크 지수),actual-records,YES,NO_EFFECT,YES,NO,4,17,단위: 순위
B-021,Global Data Lab GVI(Vulnerability Index),actual-records,YES,NO_EFFECT,NO,NO,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-022,CCDR 기후 피해 경제적 비용,actual-records,YES,NO_EFFECT,YES,NO,3,3,단위: % of GDP/yr
B-023,건기/우기 유량 차이,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-024,농업 용수 비중,actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-025,유역 면적,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-026,유향(flow direction),actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-027,지하수 잠재량,actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-028,하천 유량,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-029,"산림 유형별 면적[열대우림, 맹그로브, 이탄지 등]",partial-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-030,산림 이득,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-031,산림 총 면적,actual-records,YES,NO_EFFECT,YES,YES,3,63,단위: ha
B-032,수관 피복률,actual-records,YES,NO_EFFECT,YES,YES,2,63,단위: %
B-033,연간 산림 손실,actual-records,YES,NO_EFFECT,YES,YES,3,63,단위: ha
B-034,탄소 저장량,actual-records,YES,NO_EFFECT,NO,YES,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-035,LULUCF 관련 면적 변화,actual-records,YES,NO_EFFECT,NO,NO,4,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-036,토지이용 변화율,actual-records,YES,NO_EFFECT,YES,NO,3,0,단위: %/yr
B-037,"토지피복 분류별 면적[경작지, 산림, 초지, 건물, 수체, 나지]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-038,"바이오매스 자원 가용량[농업잔재, 임업잔재, 도시폐기물, 축산폐기물]",actual-records,YES,NO_EFFECT,NO,NO,5,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-039,수력 잠재량,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-040,지열 잠재량,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-041,"태양광 관련 지표[GHI, DNI]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-042,"풍력 자원[풍속, 에너지밀도]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
B-043,"화석연료 자원량[석탄, 석유, LNG 등]",actual-records,YES,NO_EFFECT,YES,NO,5,3,단위: 년
B-044,"광물명[리튬, 코발트, 니켈, 망간, 흑연, 주석, 납, 아연, 마그네슘화합물, 텅스텐, 바나듐, 크롬, 나이오븀, 탄탈럼, 티타늄광물, 지르코늄하프늄, 안티모니, 희토류, 백금족, 형석]",actual-records,YES,NO_EFFECT,NO,NO,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
B-045,글로벌 순위,actual-records,YES,NO_EFFECT,YES,NO,3,8,단위: 순위
B-046,"매장량[확인, 추정]",actual-records,YES,NO_EFFECT,YES,NO,3,1,단위: t (Sn 함량)
B-047,연간 생산량,actual-records,YES,NO_EFFECT,YES,NO,3,0,단위: t (W 함량)
B-048,주요 광산 위치,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-001,"NDC[제출년도, 버전, BAU 배출 전망, 감축 목표(무조건부/조건부), 부문별 감축 전략·수단 목록, NDC-SDG 연계 매핑, 적응 부문 목표, 이행 재원 소요, 기준연도, 대상 GHG, 대상 부문, 원본 링크]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-002,"BTR[제출년도, 문서 링크, GHG 총배출량(incl./excl. LULUCF), 부문별 NDC 감축 달성량, SSP별 기온 전망, SSP별 강수 전망, 극한기후지수 변화, GDP 손실 추정, 적응 이행 프로그램 수, 재정 지원 수요/수혜, 원본 링크]; 부문별 배출량[에너지, IPPU, 농업, FOLU, 폐기물]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-004,"LT-LEDS[장기 배출 경로(BAU/감축/넷제로 시나리오별), 넷제로 목표 연도, 넷제로 목표 범위, 부문별 탈탄소 경로, 핵심 감축 기술 목록, 공정전환 전략, 탄소 흡수/제거 목표, 장기 투자 소요, 원본 링크]; 에너지 믹스 전망[RE, 화석, 원자력]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-005,"TNA[수행 여부, 수행 연도, 기술 이전 장벽(Barrier Analysis 결과), TAP(기술실행계획) 유무, 우선 섹터, 원본 링크]; 감축/적응 우선순위 기술 목록[기술명, 부문, 우선순위 순위]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-006,"ITMO 양자 협정[체결국, 체결 일자, 대상 부문, 대상 기술, 승인 기관(Authorization Body)]; 파리협정 제6.2조/제6.4조 이행 체계[ITMO 이전 실적, 상응조정(Corresponding Adjustment) 체계 구축 여부, 국가 레지스트리 존재 여부, UNFCCC 연동 상태]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,2,0,
C-008,"Cooperative Climate Initiative[이니셔티브 명, 참여 상태(Active/Completed), 참여 연도, 기후 분야(감축/적응), 주제(에너지/산림/수송/도시 등), 참여 국가·기관 목록]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,2,0,
C-009,"기후 법제도[법령명, 유형(법률/시행령/규제/인센티브), 대상 분야(감축/적응/에너지/산업), 시행 연도, 상태(시행중/폐지/계류), 주관 부처, 원본 링크]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-010,"기타 환경 법제도[법령명, 유형(EIA법/대기질/수질/폐기물/생물다양성), 시행 연도, 상태, 주관 부처, 원본 링크]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-011,"치안·안전 정보[경보 등급(여행유의/자제/철수권고/여행금지), 현지 치안 상황, 범죄 통계]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-012,"PPP 법제도·조달 체계[PPP 법률 유무, PPP 법률 명칭, PPP 전담 기관, 조달 방식(경쟁입찰/협상/비공개), 계약 유형(BOT/BOO/Concession), VfM 평가 의무 여부, PPP 프로젝트 이력]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-013,"외국인 투자 규정[외국인 지분 제한, 투자 인센티브(세제 혜택/경제특구), 투자 보호 협정(BIT), 수익 송금 규정]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-014,"인허가 프로세스[환경영향평가(EIA) 절차, 건축 허가 절차, 건축 허가 소요 기간, 건축 허가 비용, 전력 사업 허가 절차, 전력 사업 허가 소요 기간, 전력 사업 허가 비용, 토지 취득 절차, 토지 취득 소요 기간, 토지 취득 비용]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-015,상기 문서들의 원본 링크,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-016,"재생에너지 발주 및 확대 계획[국가 RE 용량 목표, 입찰 일정(예정/진행/완료), 대상 기술, 사업자 선정 방식(경쟁입찰/FIT), 발주 기관]",actual-records,YES,NO_EFFECT,YES,NO,7,385,단위: 개
C-017,"재생에너지 투자 인센티브[인센티브 유형(FIT/FIP/RPS/세제/보조금/넷미터링), 대상 기술(태양광/풍력/수력/바이오), 시행 기관, 시행 연도, 상태]; 인센티브 조건[가격, 기간, 용량]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-018,"중장기 에너지 전망[전망 기관(IEA/현지 정부), 전망 시나리오명, 에너지원별 수요 전망, 기술별 발전 설비 확충 계획, RE 비중 목표, 전력 수요 성장률]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-019,"탄소 시장 법률·예산[탄소세 도입 여부, 탄소세 세율, ETS 도입 여부, ETS 대상 부문, ETS 가격, FIT 도입 여부, FIP 도입 여부, RPS 도입 여부, 탄소시장 관련 예산 규모]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-020,GHG 감축 사업 타당성 기초 정보,not-collected,YES,N/A,YES_DATA_UNAVAILABLE,NO,0,0,
C-021,VCM 프로젝트 파이프라인,not-collected,YES,N/A,YES_DATA_UNAVAILABLE,NO,0,0,
C-022,탄소시장 준비도,actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-023,한계저감비용(MAC),not-collected,YES,N/A,YES_DATA_UNAVAILABLE,NO,0,0,
C-024,"REDD+ 현황[REDD+ 전략 수립 여부, FREL 제출 여부, FREL 제출년, 결과기반지불(RBP) 수혜 실적, 세이프가드 정보 시스템 구축 여부, 참여 기금(GCF/FCPF/BioCF)]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
C-025,"탄소크레딧 발행·소각 실적[프로젝트명, 등록 표준(VCS/GS), 국가, 기술 분야, 발행량, 소각량, 빈티지, 발행일]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,2,0,
D-001,단위 사업당 CAPEX,actual-records,YES,NO_EFFECT,YES,NO,5,14,단위: USD/kW
D-002,시장 성장률,actual-records,YES,NO_EFFECT,YES,NO,3,6,단위: %
D-003,예상 감축량,actual-records,YES,NO_EFFECT,YES,NO,5,4,단위: tCO2/년·MW
D-004,크레딧 가격 연동 수익성,actual-records,YES,NO_EFFECT,YES,NO,3,15,단위: %
D-005,감축/적응 구분별 예산 배분 비율,actual-records,YES,NO_EFFECT,NO,NO,1,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
D-006,기후 관련 조세 수입,actual-records,YES,NO_EFFECT,YES,NO,4,0,단위: USD/tCO2e
D-007,"기후예산태깅(CBT, Climate Budget Tagging) 도입 여부 및 수준",actual-records,YES,NO_EFFECT,NO,NO,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
D-008,주관 부처별 기후 예산 규모,actual-records,YES,NO_EFFECT,YES,NO,4,5,단위: VND
D-009,"기후대응·기후기술 관련 정부 예산[총 지출 규모, 연도별 추이]",actual-records,YES,NO_EFFECT,YES,NO,4,1,단위: USD
D-010,화석연료 보조금 규모,actual-records,YES,NO_EFFECT,NO,NO,4,1,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
D-011,개도국 내 각국별 ODA 규모,actual-records,YES,NO_EFFECT,NO,YES,1,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
D-012,"경쟁국 민간기업의 개도국 진출 현황[기업명, 국적, 진출 대상국, 기술 분야(RE/효율/폐기물), 프로젝트명, 용량, 투자액, 진출 형태(EPC/투자/라이선스)]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-013,GGGI Green Growth Index(녹색성장지수),actual-records,YES,NO_EFFECT,YES,NO,3,21,단위: 점
D-014,"EDCF 프로젝트[프로젝트명, 수원국, 섹터, 승인 금액, 금리, 상환 기간, 거치 기간, 사업 기간, 시행기관, 상태(승인/집행/완료)]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-015,"ODA Korea 프로젝트[사업명, 수원국, 시행기관(KOICA/EDCF/부처), 사업 유형(프로젝트/기술협력/연수), 사업 기간, 사업비, 분야(DAC 섹터코드), 상태]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-016,"지자체·정부부처 프로젝트[사업명, 수원국, 시행기관(부처/지자체명), 사업 유형, 사업 기간, 사업비, 분야]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-017,"한국 ODA 기관 PCP/입찰 현황[사업명, 대상국, 발주기관(KOICA/EDCF/부처), 분야, 예산 규모, 입찰 유형(PCP/RFP/경쟁), 입찰 일정(공고일/마감일), 수행기관 자격 요건]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-018,"Adaptation Fund 프로젝트[프로젝트명, 국가, 실행기관(NIE/MIE 구분, 기관명), 승인 금액, 분야(수자원/농업/재난관리/해안/생태계), 상태(Under Implementation/Completed), 기간, 수혜자 수]",actual-records,YES,NO_EFFECT,NO,NO,7,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
D-019,"CTCN 기술지원 요청[요청 국가, NDE 기관명, 기술 분야(Sectors), 지원 단계(Phase: Scoping/TA Delivery/Completed), 예산, 기술 유형(Technologies), 기간, TA 결과 요약]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,3,0,
D-020,"GCF 프로젝트[프로젝트명(Ref No.), 국가, 인가기관(AE), GCF 승인 금액, 공동재원, 분야(mitigation/adaptation/cross-cutting), 결과영역(Result Area), 상태(Approved/Under Implementation/Completed), 이사회 승인일, 예상 수혜자 수, 예상 감축량]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-021,"주요 국제기구·MDB 프로젝트[프로젝트명, 수원국, 공여기관(WB/ADB/UNDP/FAO/UNCCD 등), 섹터(DAC 코드), 금액(commitment/disbursement), 기간, 상태, 실행기관, Rio Marker]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-022,"MDB/DFI/PPP 투자 프로젝트[프로젝트명, 수원국, 공여기관(WB/ADB/IFC 등), 섹터(DAC 5자리 코드), 투자액(commitment/disbursement), 프로젝트 상태, 기간(시작/종료), 실행기관, Rio Marker(기후 태깅), 투자 유형(grant/loan/equity), 공동투자 참여 가능 여부 및 형태]",actual-records,YES,NO_EFFECT,INCOMPLETE,YES,2,0,
D-023,"ODA 및 기후기금(GCF, GEF, AF) 재원[프로젝트명, 수원국, 기금명(GCF/GEF/AF/CIF), 승인 금액, 공동재원(co-financing), 분야(mitigation/adaptation/cross-cutting), 결과영역(Result Area), 인가기관(AE/Agency), 상태(Approved/Implementing/Completed), Readiness 구분, 공동투자 참여 가능 여부 및 형태]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-024,"VC·임팩트 투자 현황[투자 라운드(Seed/Series A-C), 투자자명, 투자 금액, 대상 기업/기술, 국가, 투자 연도, 기후 분야(RE/효율/모빌리티/AgTech), 공동투자 참여 가능 여부 및 형태]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
D-025,"민간 인프라 투자(PPI)[프로젝트명, 국가, 섹터(전력/수도/교통/통신), 투자 유형(Greenfield/Concession/Divestiture), 총 투자액, 민간 투자액, 계약 기간, 상태(Active/Cancelled/Distressed), Financial Close 연도, 스폰서/개발사, IDA 지위, 공동투자 참여 가능 여부 및 형태]",actual-records,YES,NO_EFFECT,INCOMPLETE,YES,2,0,
D-026,"MIGA 정치적 리스크 보증[프로젝트명, 국가, 섹터, 보증 금액, 보증 유형(수용/이전제한/계약위반/전쟁내란), 보증 기간, 투자자, 상태]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
E-001,"CTCN NDE(국가지정기구)[국가, 기관명, 소속 부처, 담당자명(Focal Point), 직함, 이메일, 전화번호]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,1,0,
E-002,"DNA(국가지정기관)[국가, 기관명, 소속 부처, 담당자명, 직함, 이메일, 승인 절차 개요, 제6.4조 전환 상태]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
E-003,"GCF NDA(국가지정기관)[국가, 기관명, 소속 부처, 담당자명, 직함, 이메일, 전화번호]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,1,0,
E-004,"국제기구 현지사무소 담당자[기관명(UNDP/UNEP/UNIDO/FAO/WB/ADB/GIZ/JICA/KOICA 등), 소재국, 도시, 사무소 주소, 기후·에너지 담당자명, 직함, 이메일]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,5,0,
E-005,"대학·연구기관·NGO[기관명, 기관 유형(대학/연구소/싱크탱크/NGO), 소재국, 도시, 전문 분야(기후/에너지/환경/농업), 주요 연구역량 또는 활동 범위, 국제 협력 실적 유무, 연락처]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
E-006,"현지 투자자 네트워크[기관명, 기관 유형(VC/PE/DFI/상업은행/임팩트투자/AC), 투자 분야(기후/에너지/인프라/AgTech), 투자 규모(AUM), 소재국, 도시, 연락처, 기후기술 투자 실적 유무]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,8,0,
E-007,"온실가스 산정 MRV 체계[GHG 인벤토리 작성 역량(Tier 1/2/3), 국가 레지스트리 유무, 제3자 검증 체계 유무, BTR 제출 이력(제출/미제출), CBIT 지원 수혜 여부]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,1,0,
E-008,"논문·특허[논문·특허명, 기후기술 분야, 특허 출원인 국적, 특허 출원 연구기관·대학명, 논문 국제 공저 비율, 한국과의 공동 출원·공저 여부]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,3,0,
E-009,STEM 졸업자 수; 연구자 수,partial-records,YES,NO_EFFECT,YES,NO,2,1,단위: %
E-010,UNESCO UIS R&D 지출(GERD); WIPO 혁신지수(GII),actual-records,YES,NO_EFFECT,YES,NO,3,0,단위: USD
E-011,기술준비수준(TRL),no-populated-record,YES,NO_CONTROL,YES_DATA_UNAVAILABLE,NO,0,0,
E-012,직군별 종사자 수; 직군별 임금,partial-records,YES,NO_EFFECT,NO,NO,3,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
E-013,"운영·유지보수 역량[숙련 기술인력 가용성, 부품 조달 가능성(국내생산/수입의존), 예방정비 체계 수준, A/S 인프라(서비스센터/원격모니터링 유무), 과거 유사시설 O&M 실적]",no-populated-record,YES,NO_CONTROL,YES_DATA_UNAVAILABLE,NO,0,0,
E-014,"양자협정[협정 유형(제6.2조 양자/기후변화 공동위/녹색성장 MOU), 체결국, 체결 일자, 대상 분야, 이행 상태(발효/만료/갱신), 원본 링크]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
E-015,"NDC Partnership[참여 여부(Y/N), Country Page 링크]",actual-records,YES,NO_CONTROL,INCOMPLETE,NO,0,0,
E-016,한국 기후기술 TRL,actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
E-017,한국-경쟁국 기후기술 비교우위,actual-records,YES,NO_EFFECT,NO,NO,2,0,ERROR TypeError: Cannot read properties of undefined (reading 'includes')
E-018,"국내 기업 개도국 진출[기업명, 진출국, 업종(RE/에너지효율/폐기물/수처리), 진출 형태(법인/지사/프로젝트), 설립연도, 연락처, 38대 기후기술 매칭]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,2,0,
E-019,"한국 기관 사무소[기관명(KOTRA무역관/KOICA사무소/에너지공단/KEPCO/한수원 등), 소재국, 도시, 주소, 기후·에너지 담당자 유무, 연락처, 담당 업무 범위]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,1,0,
E-020,"한국 공공·민간 지원체계[지원기관명(NIGT/GTC/KOTRA/KIAT/에너지공단 등), 지원 프로그램명, 지원 유형(실증/FS/기술이전/금융), 지원 대상(기업/연구기관), 예산 규모, 신청 시기, 원본 링크]",actual-records,YES,NO_EFFECT,INCOMPLETE,NO,3,0,
