token,locations,glossaryMatched,category,englishName,koreanName,tooltipRendered,approved,approvalReason,unwrappedLocations,unwrappedExamples
BY,detail:A-002 | detail:A-003 | detail:A-004 | detail:A-005 | detail:A-006 | detail:A-007 | detail:A-008 | detail:A-009 | detail:A-010 | detail:A-011 | detail:A-012 | detail:A-019 | detail:A-021 | detail:A-023 | detail:A-024 | detail:A-031 | detail:C-011 | detail:D-001 | detail:D-025 | detail:E-008 | map | map:active-gvi,false,public-license-identifier,,,false,true,BY는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
BY-NC-ND,detail:A-010 | detail:A-014 | detail:A-015 | detail:B-010 | detail:B-012,false,public-license-identifier,,,false,true,BY-NC-ND는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
BY-NC-SA,detail:B-029,false,public-license-identifier,,,false,true,BY-NC-SA는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
BY-ND,detail:A-001,false,public-license-identifier,,,false,true,BY-ND는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
CAGR,detail:D-002 | guide,true,economy,Compound Annual Growth Rate,연평균 복합성장률,true,true,registered public glossary term,,
CAPACITY,detail:B-020,false,uppercase-source-wording,,,false,true,CAPACITY는 공개 원문에서 대문자로 적힌 일반 영문 단어 또는 문구입니다. 표기 형태만 대문자일 뿐 약어가 아니므로 용어 풀이 대상에서 제외합니다.,,
CAPEX,detail:D-004 | guide,true,energy-technology,Capital Expenditure,자본적 지출,true,true,registered public glossary term,,
CARP,detail:C-006 | guide,true,climate-policy,Centralized Accounting and Reporting Platform,중앙집중식 산정·보고 플랫폼,true,true,registered public glossary term,,
CBAM,detail:B-013 | download | guide,true,trade-investment,Carbon Border Adjustment Mechanism,탄소국경조정제도,true,true,registered public glossary term,,
CBT,detail:D-007 | download | guide,true,development-finance,Climate Budget Tagging,기후예산태깅,true,true,registered public glossary term,,"detail:D-007: 기후예산태깅(CBT, Climate Budget Tagging) 도입 여부 및 수준 항목별 현황"
CC,detail:A-001 | detail:A-002 | detail:A-003 | detail:A-004 | detail:A-005 | detail:A-006 | detail:A-007 | detail:A-008 | detail:A-009 | detail:A-010 | detail:A-011 | detail:A-012 | detail:A-014 | detail:A-015 | detail:A-019 | detail:A-021 | detail:A-023 | detail:A-024 | detail:A-031 | detail:B-010 | detail:B-012 | detail:B-029 | detail:C-011 | detail:D-001 | detail:D-025 | detail:E-008 | map | map:active-gvi,false,public-license-identifier,,,false,true,CC는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
CC-BY,detail:C-008 | detail:C-009,false,public-license-identifier,,,false,true,CC-BY는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
CC-BY-4.0,detail:A-002 | detail:A-003 | detail:A-004 | detail:A-005 | detail:A-006 | detail:A-007 | detail:A-008 | detail:A-009 | detail:A-010 | detail:A-011 | detail:A-012 | detail:A-019 | detail:A-021 | detail:A-023 | detail:A-024 | detail:A-031 | detail:B-002 | detail:B-004 | detail:B-013 | detail:B-017 | detail:B-020 | detail:B-022 | detail:B-024 | detail:B-029 | detail:B-030 | detail:B-031 | detail:B-032 | detail:B-033 | detail:B-034 | detail:B-035 | detail:B-036 | detail:B-037 | detail:B-038 | detail:B-041 | detail:B-042 | detail:C-008 | detail:C-009 | detail:C-014 | detail:D-001 | detail:D-025 | detail:E-010,false,public-license-identifier,,,false,true,CC-BY-4.0는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
CC-BY-NC-4.0,detail:A-013,false,public-license-identifier,,,false,true,CC-BY-NC-4.0는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
CC-BY-NC-ND-4.0,detail:A-010 | detail:A-014 | detail:A-015 | detail:B-010 | detail:B-012,false,public-license-identifier,,,false,true,CC-BY-NC-ND-4.0는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
CC-BY-NC-SA-4.0,detail:B-029,false,public-license-identifier,,,false,true,CC-BY-NC-SA-4.0는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
CC-BY-ND-4.0-DE,detail:A-001,false,public-license-identifier,,,false,true,CC-BY-ND-4.0-DE는 공개 저작권 라이선스에 인쇄된 조건 식별자입니다. 라이선스 원문 정확성을 위해 코드를 유지하며 일반 전문약어로 확장하지 않습니다.,,
CCC,detail:C-005 | detail:C-006 | download | guide,true,organisation,UNEP Copenhagen Climate Centre,유엔환경계획 코펜하겐 기후센터,true,true,registered public glossary term,,
CCDR,detail:B-014 | detail:B-022 | detail:D-005 | detail:D-006 | detail:D-007 | detail:D-008 | download | guide,true,climate-policy,Country Climate and Development Report,국가 기후·개발 보고서,true,true,registered public glossary term,,
CCGT,detail:A-017 | guide,true,energy-technology,Combined Cycle Gas Turbine,가스복합화력,true,true,registered public glossary term,,
CCI-LC,detail:B-029 | detail:B-036 | detail:B-037 | download | guide,true,climate-risk,Climate Change Initiative Land Cover,기후변화 이니셔티브 토지피복,true,true,registered public glossary term,,
CCKP,detail:B-001 | detail:B-003 | detail:B-004 | detail:B-005 | detail:B-006 | detail:B-007 | download | finder | guide,true,organisation,Climate Change Knowledge Portal,기후변화지식포털,true,true,registered public glossary term,,
CCS,detail:A-025 | detail:E-001 | guide,true,energy-technology,Carbon Capture and Storage,탄소포집·저장,true,true,registered public glossary term,,
CCUS,detail:E-008 | guide,true,energy-technology,"Carbon Capture, Utilisation and Storage",탄소포집·활용·저장,true,true,registered public glossary term,,
CDD,finder | guide,true,climate-risk,Consecutive Dry Days,연속 건조일수,true,true,registered public glossary term,,
CDM,detail:C-025 | detail:E-002 | guide,true,climate-policy,Clean Development Mechanism,청정개발체제,true,true,registered public glossary term,,
CEGR,detail:E-001 | guide,true,organisation,Centre for Energy and Green Growth Research,에너지·녹색성장연구센터,true,true,registered public glossary term,,
CEIC,detail:D-006 | guide,true,organisation,CEIC Data,CEIC 경제통계 데이터베이스,true,true,registered public glossary term,,
CGIAR,guide,true,organisation,CGIAR global research partnership,국제농업연구협의그룹,true,true,registered public glossary term,,
CGLS,detail:B-037 | guide,true,organisation,Copernicus Global Land Service,코페르니쿠스 전지구 토지서비스,true,true,registered public glossary term,,
CH4,detail:C-002,true,climate-policy,Methane,메탄,true,true,registered public glossary term,,
CH₄,detail:A-010 | guide,true,climate-policy,Methane,메탄,true,true,registered public glossary term,,detail:A-010: 메탄(CH₄ 환산)
CHANGE,detail:E-005,false,uppercase-source-wording,,,false,true,CHANGE는 공개 원문에서 대문자로 적힌 일반 영문 단어 또는 문구입니다. 표기 형태만 대문자일 뿐 약어가 아니므로 용어 풀이 대상에서 제외합니다.,,
CIF,detail:D-023 | detail:E-006 | download | finder | guide | home,true,development-finance,Climate Investment Funds,기후투자기금,true,true,registered public glossary term,,
CME,detail:D-024,false,public-brand/literal-fragment,,,false,true,CME는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
CMIP6,detail:B-004 | detail:B-005 | detail:B-006 | detail:B-007 | download | finder | guide,true,climate-risk,Coupled Model Intercomparison Project Phase 6,제6차 결합모델 상호비교사업,true,true,registered public glossary term,,detail:B-004: 과거·미래 기후전망(CMIP6) 시나리오별 전망
CO,detail:D-019,false,public-brand/literal-fragment,,,false,true,CO는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
CO₂,detail:A-010 | detail:A-012 | detail:A-025 | detail:B-034 | detail:C-002 | detail:C-018 | guide,true,climate-policy,Carbon dioxide,이산화탄소,true,true,registered public glossary term,,detail:A-010: 가스별 CO₂ 환산 배출량(Mt CO2eq) | detail:A-010: 이산화탄소(CO₂ 환산) | detail:A-010: 불소계 온실가스(CO₂ 환산)
CO2-EOR,detail:A-025 | guide,true,energy-technology,Carbon dioxide enhanced oil recovery,이산화탄소 활용 석유회수증진,true,true,registered public glossary term,,
CO₂e,detail:C-009 | guide,true,unit,Carbon dioxide equivalent,이산화탄소환산량,true,true,registered public glossary term,,
CO₂e/yr,detail:B-034 | guide,true,unit,Carbon dioxide equivalent per year,연간 이산화탄소환산량,true,true,registered public glossary term,,detail:B-034: 측정값(Mg CO2e/yr)
CO2eq,detail:A-010 | detail:A-011 | detail:A-012,true,unit,Carbon dioxide equivalent,이산화탄소환산량,true,true,registered public glossary term,,detail:A-010: 582.7 Mt CO2eq | detail:A-010: 430.8 Mt CO2eq | detail:A-010: 온실가스 배출량(Mt CO2eq) | detail:A-010: 가스별 CO₂ 환산 배출량(Mt CO2eq) | detail:A-010: 114.9 Mt CO2eq | detail:A-010: 26.09 Mt CO2eq | detail:A-010: 10.87 Mt CO2eq | detail:A-011: 584.3 Mt CO2eq | detail:A-011: 202.2 Mt CO2eq | detail:A-011: 온실가스 배출량(Mt CO2eq) | detail:A-011: 부문별 온실가스 배출량(Mt CO2eq) | detail:A-011: 112.8 Mt CO2eq
COP,guide,true,climate-policy,Conference of the Parties,당사국총회,true,true,registered public glossary term,,
COPING,detail:B-020,false,uppercase-source-wording,,,false,true,COPING는 공개 원문에서 대문자로 적힌 일반 영문 단어 또는 문구입니다. 표기 형태만 대문자일 뿐 약어가 아니므로 용어 풀이 대상에서 제외합니다.,,
CP,detail:C-009 | detail:C-010 | detail:C-012 | detail:C-014 | detail:C-016 | detail:C-017 | detail:C-019 | detail:C-022 | download,false,official-source-identifier,,,false,true,CP는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
CPEIR,detail:D-005 | detail:D-007 | detail:D-008 | detail:D-009 | download | finder | guide,true,climate-policy,Climate Public Expenditure and Institutional Review,기후 공공지출·제도 검토,true,true,registered public glossary term,,detail:D-005: CPEIR 2015의 동일한 총 기후변화 대응 지출 분모에서 세 구분의 합이 100%가 되는 공개값입니다. | detail:D-005: CPEIR 2015
CPI,detail:A-001 | download | guide,true,economy,Corruption Perceptions Index,부패인식지수,true,true,registered public glossary term,,detail:A-001: 부패인식지수(CPI) 수준과 변화
CPIA,detail:A-002 | download | finder | guide | home,true,economy,Country Policy and Institutional Assessment,국가정책·제도평가,true,true,registered public glossary term,,
CRED,detail:B-010 | detail:B-012 | guide,true,organisation,Centre for Research on the Epidemiology of Disasters,재난역학연구센터,true,true,registered public glossary term,,
CRES,detail:E-005 | guide,true,organisation,Centre for Natural Resources and Environmental Studies,천연자원·환경연구센터,true,true,registered public glossary term,,
CRI,detail:B-010 | guide,true,climate-risk,Climate Risk Index,기후위험지수,true,true,registered public glossary term,,
CRS,detail:D-010 | detail:D-011 | detail:D-014 | detail:D-015 | detail:D-016 | download | finder | guide,true,development-finance,Creditor Reporting System,채권자보고시스템,true,true,registered public glossary term,,
CRU,detail:B-001 | detail:B-003 | download | finder | guide,true,organisation,Climatic Research Unit,기후연구소,true,true,registered public glossary term,,
CS,detail:E-018,false,public-brand/literal-fragment,,,false,true,CS는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
CSRD,detail:E-005 | guide,true,organisation,Centre for Social Research and Development,사회연구·개발센터,true,true,registered public glossary term,,
CSV,download | guide,true,data-format,Comma-Separated Values,쉼표로 구분한 값,true,true,registered public glossary term,,download: CSV
CTCN,detail:D-019 | detail:E-001 | detail:E-005 | detail:E-020 | download | guide,true,organisation,Climate Technology Centre and Network,기후기술센터·네트워크,true,true,registered public glossary term,,detail:D-019: CTCN 기술지원 규모와 분포 | detail:E-001: CTCN 국가지정기구 기관별 현황
CTCN,guide,true,energy-technology,National Designated Entity,CTCN 국가 지정기구,true,true,registered public glossary term,,
CTF,detail:D-023 | download | finder | guide | home,true,development-finance,Clean Technology Fund,청정기술기금,true,true,registered public glossary term,,
CWD,detail:B-007 | guide,true,climate-risk,Consecutive Wet Days,연속 습윤일수,true,true,registered public glossary term,,
D8,detail:B-026 | guide,true,climate-risk,Eight-direction flow model,8방향 흐름모형,true,true,registered public glossary term,,
DAC,guide,true,development-finance,Creditor Reporting System,채권자보고시스템,true,true,registered public glossary term,,
DAC,guide,true,development-finance,Development Assistance Committee,개발원조위원회,true,true,registered public glossary term,,
DAE,detail:E-003 | guide,true,development-finance,Direct Access Entity,직접접근기구,true,true,registered public glossary term,,
DALY,guide,true,economy,Disability-Adjusted Life Year,장애보정생존연수,true,true,registered public glossary term,,
DANIDA,detail:E-004 | guide,true,organisation,Danish International Development Agency,덴마크 국제개발협력기관,true,true,registered public glossary term,,
DB,detail:C-009 | detail:C-010 | detail:C-012 | detail:C-013 | detail:C-015 | detail:C-017 | detail:D-006 | detail:D-020 | detail:D-023,false,public-brand/literal-fragment,,,false,true,DB는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
DC,detail:A-013,false,public-brand/literal-fragment,,,false,true,DC는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
DCC,detail:D-003 | download | guide,true,organisation,Department of Climate Change of Viet Nam,베트남 기후변화국,true,true,registered public glossary term,,
DE,detail:A-001,false,literal-geographic/ordinal-code,,,false,true,DE는 원천의 국가·방향·장·등급·필드 표기에 사용된 리터럴 코드입니다. 화면 문맥으로 식별되며 도메인 용어 약어가 아니므로 원문을 유지합니다.,,
DEPP,detail:E-004 | guide,true,organisation,Danish Energy Partnership Programme,덴마크 에너지 파트너십 프로그램,true,true,registered public glossary term,,
DFI,detail:D-022 | download | finder | guide,true,development-finance,Development Finance Institution,개발금융기관,true,true,registered public glossary term,,
DGGV,detail:B-040 | download,false,public-brand/literal-fragment,,,false,true,DGGV는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
DIR,detail:B-026 | download,false,official-source-identifier,,,false,true,DIR는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
DNA,detail:E-002 | guide,true,energy-technology,Designated National Authority,파리협정/탄소시장 국가 지정기관,true,true,registered public glossary term,,
DNI,guide,true,climate-risk,Direct Normal Irradiance,법선면 직달일사량,true,true,registered public glossary term,,
DOI,detail:A-014 | detail:A-015 | guide,true,data-format,Digital Object Identifier,디지털 객체 식별자,true,true,registered public glossary term,,
DRAGON,detail:E-005,false,public-proper-name/name-fragment,,,false,true,DRAGON는 공개된 회사·시설·지명·인명 등 고유명에 포함된 원문 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 고유명 표기를 유지합니다.,,
DRR,guide,true,climate-risk,Disaster Risk Reduction,재난위험경감,true,true,registered public glossary term,,
DTU,detail:B-004 | detail:B-042 | finder | guide,true,organisation,Technical University of Denmark,덴마크공과대학교,true,true,registered public glossary term,,
EAAIF,detail:E-006 | download | guide,true,development-finance,Emerging Africa & Asia Infrastructure Fund,아프리카·아시아 신흥시장 인프라기금,true,true,registered public glossary term,,
ECMWF,guide,true,organisation,European Centre for Medium-Range Weather Forecasts,유럽중기예보센터,true,true,registered public glossary term,,
ECMWF,guide,true,climate-risk,ECMWF Reanalysis version 5,유럽중기예보센터 제5세대 재분석자료,true,true,registered public glossary term,,
ECOSIAN,detail:D-019,false,public-proper-name/name-fragment,,,false,true,ECOSIAN는 공개된 회사·시설·지명·인명 등 고유명에 포함된 원문 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 고유명 표기를 유지합니다.,,
EDCF,detail:D-014 | detail:D-015 | detail:D-016 | detail:D-017 | detail:E-019 | detail:E-020 | download | guide,true,organisation,Economic Development Cooperation Fund,대외경제협력기금,true,true,registered public glossary term,,
EDGAR,detail:A-009 | detail:A-010 | detail:A-011 | detail:A-012 | download | guide | home,true,organisation,Emissions Database for Global Atmospheric Research,세계 대기연구 배출 데이터베이스,true,true,registered public glossary term,,
EEAS,detail:E-004 | guide,true,organisation,European External Action Service,유럽대외관계청,true,true,registered public glossary term,,
EFTA,detail:A-029 | guide,true,organisation,European Free Trade Association,유럽자유무역연합,true,true,registered public glossary term,,
EI,detail:B-043 | download | guide,true,organisation,Energy Institute,에너지연구협회,true,true,registered public glossary term,,
EIA,detail:B-038 | detail:B-039 | detail:B-040 | detail:B-043 | download | guide,true,energy-technology,Environmental Impact Assessment,환경영향평가,true,true,registered public glossary term,,
EJ,detail:A-016 | guide,true,unit,Exajoule,엑사줄,true,true,registered public glossary term,,detail:A-016: 4.699 EJ | detail:A-016: 2.569 EJ | detail:A-016: 0.554 EJ | detail:A-016: 1차 에너지 공급량(EJ) | detail:A-016: 1.367 EJ | detail:A-016: 0.367 EJ | detail:A-016: 0.208 EJ | detail:A-016: 0.188 EJ | detail:A-016: 0 EJ | detail:A-016: 단위: EJ
EM,detail:D-021,false,public-brand/literal-fragment,,,false,true,EM는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
EM-DAT,detail:B-010 | detail:B-012 | download | guide,true,organisation,Emergency Events Database,국제 재난 데이터베이스,true,true,registered public glossary term,,
EMS,detail:B-028 | guide,true,organisation,Copernicus Emergency Management Service,코페르니쿠스 긴급관리서비스,true,true,registered public glossary term,,
ENERGYDATA.INFO,detail:A-024 | download | home,false,public-brand/literal-fragment,,,false,true,ENERGYDATA.INFO는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
ENERTEAM,detail:E-001,false,public-proper-name/name-fragment,,,false,true,ENERTEAM는 공개된 회사·시설·지명·인명 등 고유명에 포함된 원문 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 고유명 표기를 유지합니다.,,
ENV,detail:B-018,false,public-brand/literal-fragment,,,false,true,ENV는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
EPC,detail:D-012 | detail:E-018 | guide,true,energy-technology,"Engineering, Procurement and Construction",설계·조달·시공,true,true,registered public glossary term,,"detail:D-012: 경쟁국 민간기업의 개도국 진출 현황: 기업명, 국적, 진출 대상국, 기술 분야(RE/효율/폐기물), 프로젝트명, 용량(MW), 투자액(USD), 진출 형태(EPC/투자/라이선스) 항목별 현황"
EPSG,detail:A-026 | detail:A-027 | detail:A-028 | guide,true,data-format,European Petroleum Survey Group geodetic parameter registry,좌표계 식별자 등록체계,true,true,registered public glossary term,,
ERA5,detail:B-005 | download | finder | guide,true,climate-risk,ECMWF Reanalysis version 5,유럽중기예보센터 제5세대 재분석자료,true,true,registered public glossary term,,
ERAV,detail:D-022 | guide,true,organisation,Electricity Regulatory Authority of Viet Nam,베트남 전력규제국,true,true,registered public glossary term,,
EREA,detail:C-015 | download | guide,true,organisation,Electricity and Renewable Energy Authority of Viet Nam,베트남 전력·재생에너지국,true,true,registered public glossary term,,
ESMAP,detail:B-004 | detail:B-039 | detail:B-041 | detail:B-042 | download | finder | guide,true,organisation,Energy Sector Management Assistance Program,에너지부문관리지원프로그램,true,true,registered public glossary term,,
ESP,detail:E-004 | guide,true,organisation,Energy Support Programme,에너지 지원 프로그램,true,true,registered public glossary term,,
ESRU,detail:D-013 | guide,true,economy,Efficient and Sustainable Resource Use,효율적·지속가능한 자원이용,true,true,registered public glossary term,,
ETS,detail:B-015 | detail:C-022 | detail:E-007 | guide,true,climate-policy,Emissions Trading System,배출권거래제,true,true,registered public glossary term,,
EU,detail:A-029 | detail:B-013 | detail:B-020 | detail:C-008 | download | finder | guide,true,organisation,European Union,유럽연합,true,true,registered public glossary term,,
EV,detail:D-024 | guide,true,energy-technology,Electric Vehicle,전기자동차,true,true,registered public glossary term,,
EVN,detail:A-022 | detail:B-039 | detail:C-018 | detail:D-003 | download | guide,true,organisation,Vietnam Electricity,베트남전력공사,true,true,registered public glossary term,,
EVNHANOI,detail:A-022 | guide,true,organisation,Hanoi Power Corporation,하노이전력공사,true,true,registered public glossary term,,
EVNSPC,detail:A-022 | guide,true,organisation,Southern Power Corporation,남부전력공사,true,true,registered public glossary term,,
EXPOSURE,detail:B-020,false,uppercase-source-wording,,,false,true,EXPOSURE는 공개 원문에서 대문자로 적힌 일반 영문 단어 또는 문구입니다. 표기 형태만 대문자일 뿐 약어가 아니므로 용어 풀이 대상에서 제외합니다.,,
FAO,detail:B-017 | detail:B-024 | detail:B-027 | detail:B-028 | detail:B-029 | detail:B-030 | detail:B-035 | detail:B-036 | detail:B-037 | detail:B-038 | detail:C-009 | detail:D-021 | detail:E-004 | download | finder | guide,true,organisation,Food and Agriculture Organization of the United Nations,유엔식량농업기구,true,true,registered public glossary term,,detail:E-004: FAO-VN@fao.org
FAO,detail:B-017 | detail:B-024 | detail:B-027 | detail:B-028 | guide,true,organisation,FAO Global Information System on Water and Agriculture,FAO 물·농업 정보시스템,true,true,registered public glossary term,,
FAO,detail:C-009 | guide,true,organisation,FAO Legal and Policy Database,FAO 법률·정책 데이터베이스,true,true,registered public glossary term,,
FAO,detail:B-029 | detail:B-032 | detail:B-035 | detail:B-036 | detail:B-037 | detail:B-038 | guide,true,organisation,FAO Statistical Database,FAO 통계 데이터베이스,true,true,registered public glossary term,,
FAOLEX,detail:C-009 | download | guide,true,organisation,FAO Legal and Policy Database,FAO 법률·정책 데이터베이스,true,true,registered public glossary term,,
